Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,6000,0,5.0 tps,0.13 s,0.01 s,0.02 s,5.0 tps
2,10 TPS,3080,4920,10.0 tps,0.08 s,0.01 s,0.02 s,3.9 tps
3,15 TPS,5240,6760,15.0 tps,0.28 s,0.01 s,0.08 s,6.6 tps
4,20 TPS,4580,11420,20.0 tps,0.27 s,0.01 s,0.11 s,5.9 tps
5,25 TPS,2460,17540,25.0 tps,0.49 s,0.02 s,0.10 s,-0.0 tps
6,30 TPS,3940,20060,30.0 tps,0.58 s,0.02 s,0.11 s,-0.0 tps
7,35 TPS,660,27340,35.0 tps,0.19 s,0.02 s,0.09 s,-0.0 tps
