Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,10020,0,10.0 tps,0.08 s,0.01 s,0.02 s,10.0 tps
2,40 TPSfixed-feedback,21080,58920,40.0 tps,0.47 s,0.01 s,0.05 s,10.8 tps
