TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
20,1,0,1,50TPS20sec,18980,21040,50.1,1.97,0.01,0.12,24.4,0.0,22,17152,774.0,22.2,40.6,3.0,99.0,0.1
20,1,1,1,50TPS20sec,19860,20160,50.1,2.32,0.01,0.15,24.8,0.0,30,18392,777.0,23.7,34.0,3.0,102.0,0.05
3,1,0,1,50TPS3sec,26760,13260,50.1,2.93,0.01,0.16,33.5,0.0,83,24532,738.0,33.2,12.8,3.0,36.0,0.01
3,1,1,1,50TPS3sec,26880,13140,50.1,3.15,0.01,0.22,33.5,0.0,90,25252,744.0,33.9,13.1,3.0,33.0,-0.01
50,1,0,1,50TPS50sec,17260,22760,50.1,1.31,0.01,0.09,21.8,0.0,12,12372,789.0,15.7,57.6,3.0,183.0,0.39
50,1,1,1,50TPS50sec,15400,24620,50.1,1.58,0.01,0.11,19.5,0.0,13,12552,789.0,15.9,65.7,3.0,156.0,0.23
5,1,0,1,50TPS5sec,25220,14800,50.1,3.01,0.01,0.18,31.8,0.0,65,23552,747.0,31.5,15.1,3.0,36.0,0.01
5,1,1,1,50TPS5sec,25280,14740,50.1,2.77,0.01,0.13,31.6,0.0,58,23512,747.0,31.5,16.9,3.0,36.0,0.0
10,1,0,1,60TPS10sec,23660,24360,60.1,2.66,0.01,0.16,29.9,0.0,48,21552,747.0,28.9,20.2,3.0,45.0,0.03
10,1,1,1,60TPS10sec,23180,24840,60.1,2.63,0.01,0.14,29.1,0.0,47,21252,768.0,27.7,21.6,3.0,51.0,0.05
30,1,0,1,60TPS30sec,18460,29560,60.1,1.66,0.01,0.11,23.3,0.0,15,14252,789.0,18.1,43.5,3.0,138.0,0.29
