0.7222222222222222
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
5    17daf636261366487802516101e7f00198a4bad1e856e35c6adf34e94452155063458a659119249d9e7e77a154d61773875637fc58cbbf2ffae3d81930a42f29  33    660   02fb2852df6a466fc85d48006edcf17bdffb3dd59e84d4b41ae05275c4e3d9ea2c
4    85817f6cbdd44f0f8277b696a2389839aa6cff47c6e1e333a34ff85713f4fa42517c7bf424db10598e97d60e6e00cb4b24ed4f3d451015e753c30852d9ef3ce9  56    1120  03addee780744e07677bd1eacc8adf15ab22411dd070a079faa31126a193acf0f2
3    9bc58c2e891a5ff710cbc218de765124c08dcb3e936c45ba7df8d258f02ede750d6bc4564ca56fc4f002096ca1deca39ca5039a9ca10e3170e5f5d3962f3bb44  8     160   03520cdc251525f0e875a3a7778585b6f8d823d99b3f0111aa97f4942bae580add
2    cb46ae8cbfbac1dd704c1d58fa6b84e7af9eb7bcd28de42d6a3355ab6b7394ac071ef4550cf729fa4f9c1f8c6fa1100e6de75870407d11d16b112f69bb35f90b  61    1220  029f1d42677170c0ad58fac4e969fb782b818c04f5585e521a77325b03c27aa451
1    94c3e02594a0b32d43b5405bf7da9a5b839424033abe79158dfa7b9f2e88bce03086162d634746fd3e9c40f741960e8543bbc640f3069d1f2ac5d2cfb2a6e0a3  3     3     02fb2852df6a466fc85d48006edcf17bdffb3dd59e84d4b41ae05275c4e3d9ea2c
0    a9ecc50713c3c34e86ef57b1c7dec27da397daade6f3dc47fd20ca4dfdc140f41cf0c3c364db9e27c69ddbb350023df796986105e5020a4dc54871cdd765ad18  4     12    02fb2852df6a466fc85d48006edcf17bdffb3dd59e84d4b41ae05275c4e3d9ea2c
