Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,4980,40,10.1 tps,0.07 s,0.01 s,0.02 s,10.0 tps
2,40 TPS,6280,16920,40.1 tps,0.49 s,0.01 s,0.07 s,11.4 tps
