Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
4,2,1,15TPS,11240,3780,15.0,1.22,0.01,0.05,11.3,0.31,49,6595,1010.0,6.5,19.6,5.0,160.0,0.74
4,0,1,20TPS,11700,8320,20.0,0.33,0.01,0.04,11.7,0.628,29,6815,1020.0,6.7,37.0,5.0,195.0,0.75
4,1,1,20TPS,11660,8360,20.0,0.90,0.01,0.05,11.7,0.524,40,6175,1015.0,6.1,22.0,5.0,145.0,0.92
4,2,1,20TPS,12320,7700,20.0,1.11,0.01,0.05,12.3,0.537,37,6501,1005.0,6.5,20.6,5.0,80.0,0.89
4,0,1,25TPS,10440,14580,25.0,0.44,0.01,0.04,10.5,0.778,19,5315,1020.0,5.2,37.3,5.0,130.0,1.02
4,1,1,25TPS,10980,14040,25.0,0.53,0.01,0.05,11.0,0.768,20,6395,1015.0,6.3,50.9,5.0,95.0,0.75
4,2,1,25TPS,10840,14180,25.0,0.67,0.01,0.05,11.0,0.724,22,7315,1020.0,7.2,44.7,5.0,90.0,0.53
4,0,1,30TPS,9700,20320,30.0,0.31,0.01,0.04,10.3,0.795,18,4555,1040.0,4.4,53.3,5.0,190.0,1.34
4,1,1,30TPS,10440,19580,30.0,0.33,0.01,0.05,10.4,0.753,19,5215,1010.0,5.2,56.6,5.0,115.0,1.0
4,2,1,30TPS,9580,20440,30.0,0.94,0.01,0.05,9.6,0.696,25,5495,1020.0,5.4,38.1,5.0,115.0,0.78
4,0,1,35TPS,9040,25980,35.0,0.29,0.01,0.04,9.1,0.722,22,4301,1015.0,4.2,50.6,5.0,130.0,1.17
4,1,1,35TPS,8560,26460,35.0,0.36,0.01,0.04,8.6,0.818,19,4795,1025.0,4.7,48.2,5.0,145.0,0.83
4,2,1,35TPS,9820,25200,35.0,0.15,0.01,0.04,10.7,0.824,16,3935,1035.0,3.8,52.5,5.0,140.0,1.82
4,0,1,40TPS,10040,29980,40.0,0.58,0.01,0.04,10.2,0.779,18,6575,1020.0,6.4,50.6,5.0,155.0,0.59
4,1,1,40TPS,8560,31460,40.0,0.33,0.01,0.04,8.6,0.837,18,4675,1025.0,4.6,74.6,5.0,325.0,0.87
4,2,1,40TPS,9420,30600,40.0,0.47,0.01,0.04,9.7,0.789,19,4635,1015.0,4.6,54.4,5.0,150.0,1.11
