0.0
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
5    84ab848ab918e45c4b92fee7cd96a6d6564e85b74a705ca799c722c9fc3b0253664b7f25261cafb1ca373bfaac6f81df69f752ca75c7d16cbc9176926c12e401  20    400   02388085b12a630332aa7a0859dda7c5d1277f7ba526f28b0b7b3120c8d82da304
4    6920110367b12959ddb6bef1a3717a19942481bf6ec7c4d6c30f85a2b745729e00e422448a923c676afec9b759763ef3ebe61f70cfcdeb4e5b04b5b81619fed0  100   2000  02388085b12a630332aa7a0859dda7c5d1277f7ba526f28b0b7b3120c8d82da304
3    d0f5f96953b0e0649fb06de2612f39fc78a3d7263eb091b693c93b20c46440564f409edbe0a45adb373e98f04f30f60b9b9b8aa4ee5d67c7ad2bfb37d437c761  80    1600  02388085b12a630332aa7a0859dda7c5d1277f7ba526f28b0b7b3120c8d82da304
2    f3ef87c56e9e4eb83792d31d838297eaf20657ecf1e48c9e262c5f24f881c17e0eca03bfaa41afb0d4914d26dc8e7a7ae2de58837ae5ee9ec3a0fdc2764f6cf3  49    980   02388085b12a630332aa7a0859dda7c5d1277f7ba526f28b0b7b3120c8d82da304
1    5372e9b3e637c4c858794b4c7bce03ef60d9630f9dbe52abef6ddf07219a47e623032bb683a27b3d0360e5b42c6597f5b5b17d09235f02a26602c3ee60ce239c  60    1200  02388085b12a630332aa7a0859dda7c5d1277f7ba526f28b0b7b3120c8d82da304
0    7404285fea00ba6b43fb1828a0e730962a3100e9b399b173fa904b63a43a95b82bfdd0458c79e25c16a30d3368df7d737a5131a60ddf2e74356a214a93863a9f  4     12    02388085b12a630332aa7a0859dda7c5d1277f7ba526f28b0b7b3120c8d82da304
