Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,3020,0,10.1 tps,0.15 s,0.01 s,0.03 s,10.1 tps
2,10 TPS,1140,460,10.3 tps,0.09 s,0.01 s,0.03 s,7.3 tps
3,15 TPS,2100,300,15.3 tps,0.13 s,0.01 s,0.04 s,13.7 tps
4,20 TPS,320,2920,20.2 tps,0.07 s,0.02 s,0.04 s,-0.0 tps
5,25 TPS,2240,2300,25.2 tps,0.19 s,0.03 s,0.08 s,-0.0 tps
6,30 TPS,660,4780,30.2 tps,0.10 s,0.02 s,0.06 s,-0.0 tps
7,35 TPS,440,6600,35.2 tps,0.08 s,0.02 s,0.05 s,-0.0 tps
8,40 TPS,820,8040,40.2 tps,0.12 s,0.02 s,0.05 s,-0.0 tps
9,45 TPS,500,10360,45.2 tps,0.09 s,0.02 s,0.05 s,2.1 tps
