Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,2760,260,10.1 tps,0.16 s,0.01 s,0.03 s,9.3 tps
2,10 TPS,1500,100,10.3 tps,0.17 s,0.02 s,0.08 s,-0.0 tps
3,15 TPS,780,1620,15.3 tps,0.12 s,0.02 s,0.05 s,-0.0 tps
4,20 TPS,660,2580,20.2 tps,0.13 s,0.02 s,0.05 s,4.3 tps
5,25 TPS,620,3960,23.9 tps,0.14 s,0.01 s,0.05 s,-0.0 tps
6,30 TPS,1020,4460,28.5 tps,0.21 s,0.01 s,0.07 s,5.4 tps
7,35 TPS,640,6440,33.0 tps,0.10 s,0.02 s,0.04 s,-0.0 tps
8,40 TPS,1080,7840,37.9 tps,0.11 s,0.02 s,0.04 s,4.7 tps
9,45 TPS,640,10280,42.6 tps,0.10 s,0.02 s,0.04 s,-0.0 tps
