Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,5TPS,2500,0,5.0 tps,0.04 s,0.01 s,0.01 s,5.0 tps
2,5TPS,2500,0,5.0 tps,0.05 s,0.01 s,0.02 s,5.0 tps
3,5TPS,2520,0,5.0 tps,0.11 s,0.01 s,0.02 s,5.0 tps
4,5TPS,840,1680,5.0 tps,0.04 s,0.01 s,0.02 s,5.1 tps
