Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,6000,0,5.0 tps,0.06 s,0.01 s,0.02 s,5.0 tps
2,10 TPS,3720,4280,10.0 tps,0.08 s,0.01 s,0.02 s,4.7 tps
3,15 TPS,6540,5460,15.0 tps,0.34 s,0.01 s,0.04 s,8.2 tps
4,20 TPS,8560,7440,20.0 tps,0.16 s,0.02 s,0.07 s,11.5 tps
5,25 TPS,5000,15000,25.0 tps,0.18 s,0.03 s,0.08 s,-0.0 tps
6,30 TPS,5680,18320,30.0 tps,0.14 s,0.03 s,0.07 s,-0.0 tps
7,35 TPS,860,27140,35.0 tps,0.08 s,0.02 s,0.05 s,35.7 tps
