round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round2,Docker,sawtooth-settings-tp-2,20.6MB,20.6MB,0.00%,0.00%,3.5KB,0B,0B,0B
round2,Docker,sawtooth-intkey-tp-python...ult-2,25.7MB,25.3MB,44.21%,5.01%,6.6MB,3.1MB,0B,0B
round2,Docker,sawtooth-poet-validator-r...-tp-2,46.8MB,46.8MB,0.00%,0.00%,3.5KB,0B,0B,0B
round2,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,3.4KB,0B,0B,0B
round2,Docker,sawtooth-intkey-tp-python...ult-1,26.0MB,25.3MB,42.05%,6.75%,9.5MB,4.5MB,0B,0B
round2,Docker,sawtooth-rest-api-1,27.1MB,27.1MB,0.48%,0.07%,1.4MB,1.4MB,0B,0B
round2,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,3.5KB,0B,0B,0B
round2,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,3.5KB,0B,0B,0B
round2,Docker,sawtooth-rest-api-0,136.2MB,75.9MB,100.42%,18.87%,361.2MB,605.1MB,0B,0B
round2,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,3.5KB,0B,0B,0B
round2,Docker,sawtooth-intkey-tp-python...ult-0,25.8MB,25.0MB,50.59%,6.23%,8.7MB,4.2MB,0B,0B
round2,Docker,sawtooth-poet-validator-r...-tp-3,47.0MB,47.0MB,0.00%,0.00%,3.4KB,0B,0B,0B
round2,Docker,sawtooth-settings-tp-3,20.6MB,20.6MB,0.00%,0.00%,3.4KB,0B,0B,0B
round2,Docker,sawtooth-rest-api-3,27.9MB,27.7MB,0.47%,0.06%,1.4MB,1.4MB,0B,0B
round2,Docker,sawtooth-intkey-tp-python...ult-3,25.5MB,25.0MB,40.35%,5.38%,7.3MB,3.5MB,0B,0B
round2,Docker,sawtooth-validator-2,657.1MB,619.7MB,100.31%,49.08%,5.2MB,12.5MB,0B,0B
round2,Docker,sawtooth-validator-1,605.4MB,580.2MB,104.93%,75.09%,8.6MB,11.0MB,0B,0B
round2,Docker,sawtooth-validator-0,712.6MB,631.0MB,108.31%,99.56%,10.3MB,367.6MB,0B,0B
round2,Docker,sawtooth-validator-3,636.5MB,569.2MB,104.62%,81.06%,9.0MB,7.6MB,0B,0B
round3,Docker,sawtooth-shell-default,61.9MB,19.5MB,63.67%,10.17%,964.4MB,6.5MB,0B,0B
round3,Docker,sawtooth-rest-api-2,27.7MB,27.7MB,0.46%,0.06%,1.4MB,1.4MB,0B,0B
round3,Docker,sawtooth-settings-tp-2,20.6MB,20.6MB,0.00%,0.00%,3.7KB,0B,0B,0B
round3,Docker,sawtooth-intkey-tp-python...ult-2,26.4MB,26.1MB,41.51%,3.59%,5.1MB,2.4MB,0B,0B
round3,Docker,sawtooth-poet-validator-r...-tp-2,46.8MB,46.8MB,0.00%,0.00%,3.7KB,0B,0B,0B
round3,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,3.8KB,0B,0B,0B
round3,Docker,sawtooth-intkey-tp-python...ult-1,26.1MB,26.0MB,4.39%,0.67%,918.1KB,405.2KB,0B,0B
round3,Docker,sawtooth-rest-api-1,27.2MB,27.2MB,0.62%,0.07%,1.4MB,1.4MB,0B,0B
round3,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,3.7KB,0B,0B,0B
round3,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,3.7KB,0B,0B,0B
round3,Docker,sawtooth-rest-api-0,150.0MB,89.2MB,100.44%,23.07%,570.4MB,968.2MB,0B,0B
round3,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,3.7KB,0B,0B,0B
round3,Docker,sawtooth-intkey-tp-python...ult-0,25.8MB,25.7MB,4.15%,0.69%,918.4KB,405.2KB,0B,0B
round3,Docker,sawtooth-poet-validator-r...-tp-3,47.0MB,47.0MB,0.00%,0.00%,3.8KB,0B,0B,0B
round3,Docker,sawtooth-settings-tp-3,20.6MB,20.6MB,0.00%,0.00%,3.8KB,0B,0B,0B
round3,Docker,sawtooth-rest-api-3,27.9MB,27.8MB,0.48%,0.06%,1.4MB,1.4MB,0B,0B
round3,Docker,sawtooth-intkey-tp-python...ult-3,26.4MB,25.9MB,47.49%,4.61%,7.1MB,3.5MB,0B,0B
round3,Docker,sawtooth-validator-2,707.4MB,691.9MB,101.29%,34.54%,4.3MB,7.1MB,0B,0B
round3,Docker,sawtooth-validator-1,594.4MB,594.2MB,99.50%,20.07%,2.0MB,1.2MB,0B,0B
round3,Docker,sawtooth-validator-0,723.3MB,704.1MB,101.77%,49.27%,4.4MB,563.6MB,0B,0B
round3,Docker,sawtooth-validator-3,720.8MB,652.0MB,107.98%,77.44%,6.9MB,7.7MB,0B,0B
