round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,120.8MB,20.7MB,61.98%,12.73%,1.9GB,12.8MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,27.7MB,24.5MB,48.66%,21.09%,52.3MB,25.9MB,0B,0B
round0,Docker,sawtooth-rest-api-0,270.9MB,93.1MB,101.17%,27.83%,1.1GB,1.9GB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-validator-0,963.4MB,576.1MB,111.45%,92.46%,64.9MB,1.2GB,0B,0B
