TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
Docker,sawtooth-shell-default,-,-,NaN%,NaN%,-,-,-,-
Docker,sawtooth-do-nothing-tp-py...fault,-,-,NaN%,NaN%,-,-,-,-
Docker,sawtooth-settings-tp-default,-,-,NaN%,NaN%,-,-,-,-
Docker,sawtooth-rest-api-default,-,-,NaN%,NaN%,-,-,-,-
Docker,sawtooth-validator-default,-,-,NaN%,NaN%,-,-,-,-
