TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
Docker,sawtooth-shell-default,2.3MB,2.3MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-default,20.5MB,20.5MB,0.42%,0.42%,0B,0B,0B,0B
Docker,sawtooth-do-nothing-tp-py...fault,20.0MB,20.0MB,3.19%,3.19%,0B,0B,0B,0B
Docker,sawtooth-rest-api-default,26.2MB,26.2MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-validator-default,31.7MB,31.7MB,9.40%,9.40%,0B,0B,0B,0B
