0.9152542372881356
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
10   34dc3c8c7864124715397c43e55e3bb687e32981575ac1e107590ddc58e433eb00d627f2aa986d9e77b8a517b14fdd71b13aa98790ac28167ea0087dc61835e8  2     40    03bf5c1fdf087c32cfd68c784408b1cd7b780fc76c52573d75c84a551e80a76423
9    62e610d757984c3e9023874d7367f41494488f8df0bbd796fb3b7d3ef83a78cc7829eb5c91b04abd4a321fafd95cc8e78a5b0b5d6a49e6f8f91cda178b981fc7  3     60    02e8b4e48b69052330fcf69e1d4941c3be47b551332a8e7dc8bcf5ff0a95ce695e
8    d7a53f64222c2cfcf738347acfd2c85da016850fbcc7f0d067d59bc83af8df6f272647cc4502e49127556840e73a78e8cd15c6c9a8174f136a1c5f66211ab2ab  1     20    02e8b4e48b69052330fcf69e1d4941c3be47b551332a8e7dc8bcf5ff0a95ce695e
7    386d3db1afbdfdb1bc9c69f5f072b32eecd1a8b6a118bd356521c905f68f9e967f6904b79468fd460d82fab5b1df76999adafbb1765ca93bad4a2c32ce92fd93  1     20    02e8b4e48b69052330fcf69e1d4941c3be47b551332a8e7dc8bcf5ff0a95ce695e
6    f501f808bb95f029239810a396d3e8ac8a513fdcbb432d729f3aedbefc6bddd6678e563be95d1f94ebd4c2d43f3b76e33fc82fe6915d2265e301fee1eb021eb9  1     20    03bab97082acf70e689e7fa73367855a131f05484480567cff4556fde1ce789593
5    46bed5c46814b9867452196d35dd5b1abed8e3cb65d73ebd9c889f1c16a57ae4247925c51b60bdcc353bd95d35c6df5cf5f69ac30a5ef5d51316029b7017da2a  4     80    03a0ff5a9458ea2b563434b3532042589e15923c1f207c6deec3f8779b6236e3e1
4    2a3abd55a9bdac30b406fbe717f42a1bbb78dcf9f4247ab11d4e59dd78f61e8749e88906d559b1ddb1f6ffa1b2dfde12f4e062ad997a9b72ff3430287f1b7b07  1     20    034770b41106032c32771402e9b105857fa1dc23086d62bcda2754216eb1cde80b
3    68ede44d6f6019efbe587945935fbd9d5764780d94abbe7f29ed2ac33e65cda4762186bda71577af6a82cc317e40f2614cefaba0628f661318cf2173798d09a6  1     20    03236d9b077929c13add8b611a6f0fe4e122c2f058cc257c4960d05ab86386ece9
2    4f98dba9d8ace83d7ab406d9942a538f447570901ddb822c7fc919257fd9096100844d226adc2218434f4170c3756bacb960026b81a6f0ce3044e38989659bfa  5     5     034770b41106032c32771402e9b105857fa1dc23086d62bcda2754216eb1cde80b
1    3fdfa23de6770665b5b80ec06089102c8e63f962cdfbc743e008afaa097c807c25186e97afed071eca059c0ea97259fc551478537ebd7d8acbedc727294d142d  4     4     024462a96bacbfd415605ccec7acfd585a55626cb86a81e64cd8ffc62f2c0bf8c5
0    b38bb64abfb96f9f87d376800fb498ee11d5ea5758e7c4c14feda333406bc1ab3881e4b13139c854ffe3fc525c2acd4c119d6eee2b32590204c10ac7ae1fd350  4     12    024462a96bacbfd415605ccec7acfd585a55626cb86a81e64cd8ffc62f2c0bf8c5
