Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,40TPS,6540,13460,40.0 tps,0.32 s,0.01 s,0.04 s,13.2 tps
2,40TPS,2080,17920,40.0 tps,0.15 s,0.02 s,0.05 s,-0.0 tps
3,40TPS,3600,16400,40.0 tps,0.83 s,0.02 s,0.08 s,-0.0 tps
4,40TPS,620,19380,40.0 tps,0.15 s,0.03 s,0.08 s,1.5 tps
