round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,26.3MB,14.6MB,60.51%,17.26%,1.4GB,9.8MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,23.2MB,21.8MB,43.57%,8.16%,19.5MB,9.6MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,93.7MB,49.5MB,70.98%,16.18%,848.9MB,1.4GB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-validator-0,434.4MB,266.7MB,104.35%,56.47%,24.5MB,847.0MB,0B,0B
