Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,8760,1240,10.0 tps,0.25 s,0.01 s,0.02 s,9.5 tps
2,40 TPSround1,8040,23960,40.0 tps,0.22 s,0.02 s,0.08 s,-0.0 tps
3,40 TPSround2,3100,28900,40.0 tps,0.17 s,0.02 s,0.07 s,-0.0 tps
4,40 TPSround3,1540,30460,40.0 tps,0.25 s,0.03 s,0.09 s,-0.0 tps
