Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,9380,640,10.0 tps,0.16 s,0.01 s,0.02 s,9.4 tps
2,40 TPSround1,6980,25020,40.0 tps,0.22 s,0.02 s,0.07 s,8.7 tps
3,40 TPSround2,7460,24540,40.0 tps,0.29 s,0.01 s,0.07 s,9.3 tps
4,40 TPSround3,7820,24180,40.0 tps,0.39 s,0.01 s,0.10 s,-0.0 tps
