Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,25TPS,9040,3460,25.0 tps,0.63 s,0.01 s,0.05 s,18.1 tps
2,25TPS,7180,5320,25.0 tps,1.47 s,0.01 s,0.11 s,19.0 tps
3,25TPS,3380,9120,25.0 tps,1.49 s,0.01 s,0.16 s,-0.0 tps
4,25TPS,2900,9600,25.0 tps,1.89 s,0.01 s,0.19 s,-0.0 tps
