round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,63.6MB,16.3MB,53.48%,13.67%,1.6GB,11.4MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.5MB,20.5MB,0.00%,0.00%,8.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,8.6KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,23.6MB,22.3MB,42.20%,8.76%,22.4MB,11.0MB,0B,0B
round0,Docker,sawtooth-rest-api-0,126.4MB,57.2MB,88.47%,20.63%,1.0GB,1.7GB,0B,0B
round0,Docker,sawtooth-validator-0,482.6MB,346.9MB,105.72%,64.84%,32.4MB,1017.7MB,0B,0B
