round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round4,Docker,sawtooth-rest-api-1,29.1MB,28.7MB,0.51%,0.18%,7.4MB,7.6MB,0B,0B
round4,Docker,sawtooth-intkey-tp-python...ult-1,28.6MB,28.0MB,50.05%,4.51%,11.7MB,5.6MB,0B,0B
round4,Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.00%,0.00%,5.6KB,0B,0B,0B
round4,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,5.6KB,0B,0B,0B
round4,Docker,sawtooth-rest-api-0,28.6MB,28.4MB,0.39%,0.18%,7.4MB,7.6MB,0B,0B
round4,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,5.6KB,0B,0B,0B
round4,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.00%,0.00%,5.6KB,0B,0B,0B
round4,Docker,sawtooth-intkey-tp-python...ult-0,28.7MB,28.2MB,53.97%,4.11%,10.6MB,5.1MB,0B,0B
round4,Docker,sawtooth-validator-1,1003.8MB,963.4MB,103.46%,97.76%,14.2MB,12.5MB,0B,0B
round4,Docker,sawtooth-validator-0,953.5MB,941.6MB,107.27%,97.98%,12.9MB,12.2MB,0B,0B
round5,Docker,sawtooth-shell-default,2.1MB,2.1MB,0.00%,0.00%,5.9KB,0B,0B,0B
round5,Docker,sawtooth-rest-api-1,29.6MB,29.3MB,0.40%,0.22%,8.9MB,9.1MB,0B,0B
round5,Docker,sawtooth-intkey-tp-python...ult-1,29.4MB,28.8MB,18.62%,2.38%,6.3MB,2.9MB,0B,0B
round5,Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.00%,0.00%,6.0KB,0B,0B,0B
round5,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,6.0KB,0B,0B,0B
round5,Docker,sawtooth-rest-api-0,28.8MB,28.6MB,0.41%,0.21%,8.9MB,9.1MB,0B,0B
round5,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,6.0KB,0B,0B,0B
round5,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.00%,0.00%,5.9KB,0B,0B,0B
round5,Docker,sawtooth-intkey-tp-python...ult-0,29.5MB,29.0MB,40.55%,2.41%,6.4MB,2.9MB,0B,0B
round5,Docker,sawtooth-validator-1,1.1GB,1.0GB,112.85%,98.91%,18.1MB,11.7MB,0B,0B
round5,Docker,sawtooth-validator-0,1.0GB,980.3MB,103.84%,98.36%,16.7MB,13.1MB,0B,0B
round6,Docker,sawtooth-shell-default,2.1MB,2.1MB,0.00%,0.00%,5.9KB,0B,0B,0B
