Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,5,0,sawtooth-shell-default,31.0,13.5,102.06,20.39,737.3,5.2,0,0
4,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,2.4,0,0,0
4,5,0,sawtooth-intkey-tp-python...ult-0,25.6,22.8,54.80,21.30,35.4,17.7,0,0
4,5,0,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,2.4,0,0,0
4,5,0,sawtooth-rest-api-0,77.5,42.0,101.67,16.42,444.1,740.1,0,0
4,5,0,sawtooth-settings-tp-2,20.8,20.8,0.00,0.00,2.3,0,0,0
4,5,0,sawtooth-rest-api-2,26.2,26.1,0.78,0.03,945.0,961.6,0,0
4,5,0,sawtooth-intkey-tp-python...ult-2,24.9,22.5,47.30,19.22,32.0,15.9,0,0
4,5,0,sawtooth-poet-validator-r...-tp-2,46.7,46.7,0.00,0.00,2.4,0,0,0
4,5,0,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,2.3,0,0,0
4,5,0,sawtooth-intkey-tp-python...ult-1,25.3,22.6,53.48,20.96,33.7,16.8,0,0
4,5,0,sawtooth-rest-api-1,26.4,26.4,1.52,0.03,946.2,963.1,0,0
4,5,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,2.3,0,0,0
4,5,0,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,2.3,0,0,0
4,5,0,sawtooth-intkey-tp-python...ult-3,24.9,22.4,47.31,19.34,31.4,15.5,0,0
4,5,0,sawtooth-settings-tp-3,20.7,20.7,0.00,0.00,2.4,0,0,0
4,5,0,sawtooth-rest-api-3,26.3,26.2,1.12,0.03,960.0,976.3,0,0
4,5,0,sawtooth-validator-1,357.9,209.2,110.80,44.19,38.7,87.8,0,0
4,5,0,sawtooth-validator-2,321.0,179.4,108.50,42.14,34.5,39.3,0,0
4,5,0,sawtooth-validator-0,397.8,220.6,116.21,56.21,41.7,477.1,0,0
4,5,0,sawtooth-validator-3,285.4,174.8,101.85,43.11,31.5,41.4,0,0
4,5,1,sawtooth-shell-default,40.1,13.9,85.75,22.40,734.2,5.2,0,0
4,5,1,sawtooth-rest-api-3,26.3,26.3,0.84,0.03,961.2,975.4,0,0
4,5,1,sawtooth-poet-validator-r...-tp-3,46.7,46.7,0.00,0.00,2.4,0,0,0
4,5,1,sawtooth-settings-tp-3,20.6,20.6,0.00,0.00,2.4,0,0,0
4,5,1,sawtooth-intkey-tp-python...ult-3,25.7,22.9,55.41,22.77,37.7,18.9,0,0
4,5,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,2.3,0,0,0
4,5,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,2.4,0,0,0
4,5,1,sawtooth-rest-api-0,74.3,42.6,101.72,17.66,442.3,737.0,0,0
4,5,1,sawtooth-intkey-tp-python...ult-0,25.5,23.0,51.82,22.08,35.6,17.8,0,0
4,5,1,sawtooth-intkey-tp-python...ult-2,25.3,22.9,47.35,20.46,34.2,16.9,0,0
4,5,1,sawtooth-rest-api-2,26.6,26.3,0.77,0.03,944.8,960.6,0,0
4,5,1,sawtooth-poet-validator-r...-tp-2,46.8,46.8,0.00,0.00,2.4,0,0,0
4,5,1,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,2.4,0,0,0
4,5,1,sawtooth-poet-validator-r...-tp-1,47.1,47.1,0.00,0.00,2.4,0,0,0
4,5,1,sawtooth-rest-api-1,26.6,26.4,0.78,0.04,947.9,962.0,0,0
4,5,1,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,2.4,0,0,0
4,5,1,sawtooth-intkey-tp-python...ult-1,25.7,23.0,47.16,21.73,36.8,18.2,0,0
4,5,1,sawtooth-validator-3,354.1,216.1,129.47,53.17,41.4,41.3,0,0
4,5,1,sawtooth-validator-0,437.7,246.7,117.25,60.08,42.2,525.8,0,0
4,5,1,sawtooth-validator-2,336.7,202.9,103.48,52.40,35.1,42.1,0,0
4,5,1,sawtooth-validator-1,356.9,210.5,109.33,54.40,34.3,46.9,0,0
4,5,2,sawtooth-rest-api-3,26.3,26.2,0.69,0.03,960.3,976.0,0,0
4,5,2,sawtooth-intkey-tp-python...ult-3,25.3,22.7,47.99,20.99,34.1,16.9,0,0
4,5,2,sawtooth-settings-tp-3,20.5,20.5,0.00,0.00,2.2,0,0,0
4,5,2,sawtooth-poet-validator-r...-tp-3,46.9,46.9,0.00,0.00,2.2,0,0,0
4,5,2,sawtooth-shell-default,38.0,13.3,77.72,22.62,678.1,4.9,0,0
4,5,2,sawtooth-poet-validator-r...-tp-2,46.7,46.7,0.00,0.00,2.2,0,0,0
4,5,2,sawtooth-rest-api-2,26.5,26.4,0.62,0.03,944.4,959.1,0,0
4,5,2,sawtooth-settings-tp-2,20.8,20.8,0.00,0.00,2.3,0,0,0
4,5,2,sawtooth-intkey-tp-python...ult-2,26.0,23.0,48.55,23.99,39.7,19.7,0,0
4,5,2,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,2.3,0,0,0
4,5,2,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,2.3,0,0,0
4,5,2,sawtooth-rest-api-0,72.2,41.1,101.18,17.03,407.8,680.8,0,0
4,5,2,sawtooth-intkey-tp-python...ult-0,25.9,23.1,47.20,21.47,37.9,18.8,0,0
4,5,2,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,2.3,0,0,0
4,5,2,sawtooth-rest-api-1,26.5,26.4,0.81,0.03,945.6,960.2,0,0
4,5,2,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,2.3,0,0,0
4,5,2,sawtooth-intkey-tp-python...ult-1,25.6,22.9,47.47,22.17,37.3,18.5,0,0
4,5,2,sawtooth-validator-2,345.4,203.4,109.81,57.43,40.0,49.6,0,0
4,5,2,sawtooth-validator-3,321.0,188.0,101.77,47.13,37.6,43.6,0,0
4,5,2,sawtooth-validator-0,395.3,232.7,114.88,60.52,46.8,473.3,0,0
4,5,2,sawtooth-validator-1,348.2,212.4,112.64,54.42,42.7,72.6,0,0
4,7,0,sawtooth-shell-default,27.7,11.1,81.47,27.80,374.5,2.9,0,0
4,7,0,sawtooth-intkey-tp-python...ult-0,26.0,23.0,48.73,23.43,38.8,19.3,0,0
4,7,0,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,2.2,0,0,0
4,7,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,2.2,0,0,0
4,7,0,sawtooth-rest-api-0,42.8,32.7,50.54,9.99,226.6,376.5,0,0
4,7,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,2.2,0,0,0
4,7,0,sawtooth-intkey-tp-python...ult-1,26.1,23.2,47.73,23.53,40.3,20.0,0,0
4,7,0,sawtooth-rest-api-1,26.4,26.4,0.75,0.04,947.4,961.7,0,0
4,7,0,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,2.3,0,0,0
4,7,0,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,2.3,0,0,0
4,7,0,sawtooth-intkey-tp-python...ult-3,25.8,22.8,47.91,22.79,37.5,18.6,0,0
4,7,0,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,2.2,0,0,0
4,7,0,sawtooth-rest-api-3,26.3,26.3,0.80,0.03,961.1,975.5,0,0
4,7,0,sawtooth-intkey-tp-python...ult-2,25.9,23.1,47.38,23.31,37.8,18.8,0,0
4,7,0,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,2.3,0,0,0
4,7,0,sawtooth-settings-tp-2,20.6,20.6,0.00,0.00,2.4,0,0,0
4,7,0,sawtooth-rest-api-2,26.6,26.6,0.71,0.03,947.3,962.2,0,0
4,7,0,sawtooth-validator-1,353.5,215.8,107.13,54.79,44.5,45.1,0,0
4,7,0,sawtooth-validator-0,354.8,217.0,102.18,57.13,43.0,325.3,0,0
4,7,0,sawtooth-validator-3,311.8,187.5,97.05,50.44,38.6,46.8,0,0
4,7,0,sawtooth-validator-2,316.6,190.2,106.54,52.27,40.5,45.4,0,0
4,7,1,sawtooth-shell-default,28.6,12.0,84.35,24.21,584.0,4.2,0,0
4,7,1,sawtooth-intkey-tp-python...ult-3,25.2,22.6,47.34,19.23,34.4,17.0,0,0
4,7,1,sawtooth-rest-api-3,27.1,26.5,0.74,0.03,959.6,977.6,0,0
4,7,1,sawtooth-poet-validator-r...-tp-3,46.6,46.6,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-intkey-tp-python...ult-2,25.2,22.5,52.97,19.94,35.6,17.8,0,0
4,7,1,sawtooth-settings-tp-2,20.4,20.4,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-poet-validator-r...-tp-2,46.7,46.7,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-rest-api-2,26.2,26.2,0.73,0.03,945.5,961.5,0,0
4,7,1,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-intkey-tp-python...ult-0,25.0,22.6,47.18,17.60,30.6,15.2,0,0
4,7,1,sawtooth-rest-api-0,52.3,36.5,68.31,13.92,352.4,586.5,0,0
4,7,1,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-rest-api-1,26.2,26.2,0.81,0.03,945.2,961.3,0,0
4,7,1,sawtooth-intkey-tp-python...ult-1,24.2,22.2,47.35,14.72,26.0,12.9,0,0
4,7,1,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,2.3,0,0,0
4,7,1,sawtooth-validator-0,349.6,210.9,106.85,50.31,37.0,408.4,0,0
4,7,1,sawtooth-validator-2,369.0,219.2,111.34,51.17,39.7,64.5,0,0
4,7,1,sawtooth-validator-3,313.7,188.8,108.62,54.13,32.3,44.9,0,0
4,7,1,sawtooth-validator-1,278.6,178.9,101.05,36.57,33.8,31.0,0,0
4,7,2,sawtooth-shell-default,35.0,12.2,83.56,26.20,508.2,3.7,0,0
4,7,2,sawtooth-intkey-tp-python...ult-0,25.0,22.6,48.04,19.45,32.7,16.2,0,0
4,7,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,2.4,0,0,0
4,7,2,sawtooth-rest-api-0,53.7,35.4,77.10,13.17,306.3,510.5,0,0
4,7,2,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,2.5,0,0,0
4,7,2,sawtooth-rest-api-1,26.4,26.4,0.75,0.04,944.3,958.7,0,0
4,7,2,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,2.4,0,0,0
4,7,2,sawtooth-intkey-tp-python...ult-1,26.0,23.0,56.28,23.06,39.5,19.7,0,0
4,7,2,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,2.5,0,0,0
4,7,2,sawtooth-poet-validator-r...-tp-2,46.8,46.8,0.00,0.00,2.4,0,0,0
4,7,2,sawtooth-rest-api-2,26.5,26.2,0.81,0.04,943.8,958.9,0,0
4,7,2,sawtooth-intkey-tp-python...ult-2,25.9,22.8,46.99,22.40,38.1,18.9,0,0
4,7,2,sawtooth-settings-tp-2,20.3,20.3,0.00,0.00,2.4,0,0,0
4,7,2,sawtooth-intkey-tp-python...ult-3,24.8,22.2,47.44,19.29,31.9,15.8,0,0
4,7,2,sawtooth-poet-validator-r...-tp-3,46.9,46.9,0.00,0.00,2.4,0,0,0
4,7,2,sawtooth-rest-api-3,26.5,26.5,0.76,0.04,959.4,974.9,0,0
4,7,2,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,2.5,0,0,0
4,7,2,sawtooth-validator-0,365.6,218.8,107.64,52.26,40.3,397.0,0,0
4,7,2,sawtooth-validator-1,369.3,222.2,111.68,56.88,44.5,43.7,0,0
4,7,2,sawtooth-validator-2,341.6,201.0,114.51,58.33,38.7,47.4,0,0
4,7,2,sawtooth-validator-3,328.4,187.1,109.72,45.69,36.6,40.2,0,0
4,10,0,sawtooth-shell-default,33.0,11.8,78.32,17.09,939.7,6.6,0,0
4,10,0,sawtooth-intkey-tp-python...ult-1,23.2,21.6,51.32,11.39,20.1,10.0,0,0
4,10,0,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,17.3,11.3,0,0
4,10,0,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,2.3,0,0,0
4,10,0,sawtooth-rest-api-1,26.2,26.2,0.68,0.03,942.1,959.9,0,0
4,10,0,sawtooth-poet-validator-r...-tp-2,46.7,46.7,0.00,0.00,17.3,11.3,0,0
4,10,0,sawtooth-intkey-tp-python...ult-2,22.5,21.4,47.77,8.39,15.1,7.5,0,0
4,10,0,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,2.3,0,0,0
4,10,0,sawtooth-rest-api-2,26.3,26.3,0.76,0.03,941.8,959.2,0,0
4,10,0,sawtooth-intkey-tp-python...ult-0,23.4,21.9,47.28,9.74,17.9,8.9,0,0
4,10,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,2.3,0,0,0
4,10,0,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,17.4,11.3,0,0
4,10,0,sawtooth-rest-api-0,67.4,41.6,98.50,13.05,564.8,943.0,0,0
4,10,0,sawtooth-intkey-tp-python...ult-3,23.4,21.9,49.14,11.18,19.9,9.9,0,0
4,10,0,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,17.3,11.3,0,0
4,10,0,sawtooth-rest-api-3,26.3,26.3,0.77,0.03,958.2,974.4,0,0
4,10,0,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,2.3,0,0,0
4,10,0,sawtooth-validator-1,258.8,165.7,100.00,23.11,22.5,22.2,0,0
4,10,0,sawtooth-validator-0,291.2,185.3,110.63,27.19,22.8,591.9,0,0
4,10,0,sawtooth-validator-2,199.6,141.0,91.85,18.02,16.5,20.6,0,0
4,10,0,sawtooth-validator-3,274.0,173.2,103.13,22.99,21.4,36.7,0,0
4,10,1,sawtooth-intkey-tp-python...ult-1,25.0,22.5,57.02,17.41,31.2,15.6,0,0
4,10,1,sawtooth-rest-api-1,26.4,26.2,0.70,0.03,944.8,960.6,0,0
4,10,1,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,2.4,0,0,0
4,10,1,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,2.3,0,0,0
4,10,1,sawtooth-shell-default,28.4,9.4,89.73,21.12,385.1,2.9,0,0
4,10,1,sawtooth-settings-tp-3,20.6,20.6,0.00,0.00,2.4,0,0,0
4,10,1,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,2.5,0,0,0
4,10,1,sawtooth-rest-api-3,26.4,26.4,0.75,0.03,960.4,975.6,0,0
