Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,15TPS,5580,1920,15.0 tps,0.69 s,0.01 s,0.04 s,11.3 tps
2,15TPS,3880,3620,15.0 tps,1.39 s,0.01 s,0.10 s,7.8 tps
3,15TPS,4080,3420,15.0 tps,1.20 s,0.01 s,0.08 s,8.2 tps
4,15TPS,3340,4180,15.0 tps,1.53 s,0.01 s,0.07 s,-0.0 tps
