Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,300,0,5.8 tps,0.04 s,0.01 s,0.02 s,5.8 tps
2,10 TPS,700,0,10.6 tps,0.03 s,0.01 s,0.02 s,10.6 tps
3,15 TPS,740,0,15.4 tps,0.06 s,0.01 s,0.02 s,15.4 tps
4,20 TPS,400,840,20.7 tps,0.06 s,0.02 s,0.04 s,-0.0 tps
5,25 TPS,1140,600,25.3 tps,0.30 s,0.02 s,0.06 s,16.8 tps
6,30 TPS,300,2100,30.5 tps,0.08 s,0.02 s,0.04 s,-0.0 tps
7,35 TPS,1420,1760,35.2 tps,0.12 s,0.01 s,0.03 s,15.8 tps
8,40 TPS,1500,2560,40.4 tps,0.23 s,0.01 s,0.03 s,15.0 tps
9,45 TPS,1900,3040,45.2 tps,0.07 s,0.01 s,0.02 s,17.4 tps
