Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,6000,0,5.0 tps,0.07 s,0.01 s,0.02 s,5.0 tps
2,10 TPS,2240,5760,10.0 tps,0.29 s,0.01 s,0.04 s,2.8 tps
3,15 TPS,5260,6740,15.0 tps,0.40 s,0.01 s,0.04 s,8.1 tps
4,20 TPS,7820,8180,20.0 tps,0.18 s,0.01 s,0.04 s,-0.0 tps
5,25 TPS,8220,11780,25.0 tps,0.47 s,0.02 s,0.15 s,10.3 tps
6,30 TPS,3560,20440,30.0 tps,0.46 s,0.02 s,0.11 s,-0.0 tps
7,35 TPS,0,28000,35.0 tps,0.00 s,100000.00 s,NaN s,0.0 tps
