TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
20,1,0,1,5TPS,60,0,7.5,0.01,0.01,0.01,7.5,0.0,3,72,30.0,2.4,5.0,5.0,5.0,2.12
5,1,0,1,5TPS,60,0,7.5,0.01,0.01,0.01,7.5,0.0,4,72,30.0,2.4,5.0,5.0,5.0,2.12
20,1,0,1,10TPS,120,0,15.0,0.02,0.01,0.01,15.0,0.0,2,132,30.0,4.4,5.0,5.0,5.0,2.41
5,1,0,1,10TPS,120,0,15.1,0.02,0.01,0.01,15.0,0.0,4,132,30.0,4.4,5.0,5.0,5.0,2.41
