Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,2980,40,10.1 tps,0.06 s,0.01 s,0.02 s,10.0 tps
2,10 TPS,1600,0,10.3 tps,0.04 s,0.01 s,0.02 s,10.3 tps
3,15 TPS,2080,320,15.3 tps,0.14 s,0.01 s,0.03 s,13.2 tps
4,20 TPS,2100,1140,20.2 tps,0.12 s,0.01 s,0.02 s,13.1 tps
5,25 TPS,1780,2760,25.2 tps,0.13 s,0.01 s,0.05 s,9.9 tps
6,30 TPS,3000,2440,30.2 tps,0.19 s,0.01 s,0.08 s,18.5 tps
7,35 TPS,1360,5680,35.2 tps,0.15 s,0.03 s,0.08 s,-0.0 tps
8,40 TPS,1920,6940,40.2 tps,0.20 s,0.03 s,0.11 s,20.1 tps
9,45 TPS,880,9980,45.2 tps,0.11 s,0.03 s,0.05 s,-0.0 tps
