Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
1,0,1,5TPS,5020,0,5,0.03,0.01,0.01,5,0,66,4872,1020,4.8,15.9,5,50,0.04
1,1,1,5TPS,5020,0,5,0.11,0.01,0.01,5,0,56,5032,1020,4.9,19.6,5,55,0.02
1,2,1,5TPS,5020,0,5,0.03,0.01,0.01,5,0,59,5032,1020,4.9,18.1,5,50,0.02
1,0,1,10TPS,10020,0,10,0.29,0.01,0.02,10,0,56,9592,1000,9.6,19.8,5,50,0.04
1,1,1,10TPS,10020,0,10,0.24,0.01,0.02,10,0,52,9872,1000,9.9,22.6,5,55,0.01
1,2,1,10TPS,10020,0,10,0.33,0.01,0.02,10,0,56,9932,1005,9.9,22.4,5,55,0.01
1,0,1,15TPS,15020,0,15,1.33,0.01,0.08,15,0,59,14792,995,14.9,19.2,5,70,0.01
1,1,1,15TPS,15020,0,15,0.94,0.01,0.04,15,0,49,14592,990,14.7,22,5,60,0.02
1,2,1,15TPS,15020,0,15,0.94,0.01,0.05,15,0,51,14412,995,14.5,21,5,55,0.03
1,0,1,20TPS,20020,0,20,1.49,0.01,0.1,20,-0.021,49,18752,975,19.2,23.8,5,65,0.04
1,1,1,20TPS,20020,0,20,1.41,0.01,0.09,20,0,37,17092,975,17.5,27.7,5,80,0.14
1,2,1,20TPS,20020,0,20,1.61,0.01,0.1,20,0,32,18692,975,19.2,33.9,5,90,0.04
1,0,1,25TPS,24500,520,25,2.05,0.01,0.11,24.5,0,30,21052,970,21.7,34,5,65,0.13
1,1,1,25TPS,21740,3280,25,2.16,0.01,0.12,21.8,0,24,20412,950,21.5,43.5,5,95,0.01
1,2,1,25TPS,23780,1240,25,2.02,0.01,0.15,23.8,0,36,20432,955,21.4,26.3,5,90,0.11
1,0,1,30TPS,25520,4500,30,2.05,0.01,0.1,25.5,0,39,23232,945,24.6,32.3,5,75,0.04
