TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
20,4,0,1,40TPS20sec,10100,21920,40.1,40.03,0.04,0.17,12.6,0.772,14,4495,831,5.4,39.5,3,135,1.33
20,4,1,1,40TPS20sec,10880,21140,40.1,40,0.04,0.16,13.6,0.767,18,7115,819,8.7,41.1,3,96,0.56
20,8,0,1,5TPS20sec,2740,0,5,3018.8,0.03,22.1,0.8,0.804,32,2339,1986,1.2,19.2,3,105,-0.33
20,8,1,1,5TPS20sec,4020,0,5.1,0.24,0.04,0.06,5.1,0.407,65,4039,843,4.8,12.9,3,78,0.06
20,8,0,1,10TPS20sec,7300,720,10.1,1.07,0.03,0.07,9.2,0.348,60,6279,819,7.7,14.2,3,204,0.19
20,8,1,1,10TPS20sec,8020,0,10.1,7.16,0.03,0.13,10.1,0.233,n/a,n/a,n/a,n/a,n/a,n/a/,n/a,n/a
20,8,0,1,15TPS20sec,8560,3460,15.1,1.33,0.04,0.09,10.7,0.432,51,5979,828,7.2,11.9,3,78,0.49
20,8,1,1,15TPS20sec,7400,4620,15.1,1.07,0.04,0.08,9.3,0.565,38,3939,828,4.8,14.7,3,144,0.94
20,8,0,1,20TPS20sec,6280,9740,20.1,7.32,0.04,0.1,7.9,0.667,22,2199,846,2.6,19.9,3,183,2.04
20,8,1,1,20TPS20sec,5740,10280,20.1,3.37,0.04,0.09,7.3,0.865,14,1179,864,1.4,40,3,138,4.21
20,8,0,1,25TPS20sec,5500,14520,25.1,0.17,0.04,0.07,7.2,0.795,16,1139,846,1.3,20.2,3,138,4.54
20,8,1,1,25TPS20sec,6920,13100,25.1,0.65,0.04,0.08,8.7,0.703,20,2559,843,3,18.2,3,186,1.9
20,8,0,1,30TPS20sec,4880,19140,30.1,0.38,0.04,0.08,6.1,0.885,14,1719,846,2,38.2,3,144,2.05
20,8,1,1,30TPS20sec,5580,17700,30,3003.21,0.04,32.32,1.5,0.9,20,2959,1986,1.5,95.2,3,405,0
20,8,0,1,40TPS20sec,5360,26660,40.1,0.78,0.04,0.08,7.1,0.91,11,1279,846,1.5,31.8,3,120,3.73
20,8,1,1,40TPS20sec,4900,27120,40.1,5364.04,0.04,153.24,0.8,0.896,22,3839,1974,1.9,99.5,3,378,-0.58
