TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
3,8,0,1,15TPS3sec,6100,5920,15.1,0.12,0.01,0.03,7.7,0.763,46,1959,852.0,2.3,16.4,3.0,138.0,2.35
3,8,1,1,15TPS3sec,4320,7700,15.1,0.30,0.01,0.03,5.4,0.868,30,301,855.0,0.4,21.3,3.0,102.0,12.5
5,8,0,1,15TPS5sec,10480,1540,15.1,1.20,0.01,0.03,13.1,0.428,96,8879,807.0,11.0,8.2,3.0,57.0,0.19
5,8,1,1,15TPS5sec,7140,4880,15.1,0.19,0.01,0.03,8.9,0.592,54,4179,831.0,5.0,9.8,3.0,84.0,0.78
10,8,0,1,15TPS10sec,9300,2720,15.1,0.70,0.01,0.03,11.6,0.462,64,6799,804.0,8.5,11.0,3.0,195.0,0.36
10,8,1,1,15TPS10sec,8200,3820,15.1,0.62,0.01,0.03,10.3,0.577,45,4479,831.0,5.4,13.4,3.0,117.0,0.91
20,8,0,1,15TPS20sec,8700,3320,15.1,0.83,0.01,0.03,10.9,0.5,49,6299,828.0,7.6,17.4,3.0,198.0,0.43
20,8,1,1,15TPS20sec,8860,3160,15.1,0.30,0.01,0.04,11.2,0.476,45,5479,843.0,6.5,11.1,3.0,78.0,0.72
30,8,0,1,15TPS30sec,4520,7500,15.1,0.10,0.01,0.03,5.7,0.783,14,2199,855.0,2.6,39.7,3.0,186.0,1.19
30,8,1,1,15TPS30sec,10080,1940,15.1,0.93,0.01,0.03,12.6,0.4,51,9739,843.0,11.6,16.0,3.0,96.0,0.09
40,8,0,1,15TPS40sec,6220,5800,15.1,0.17,0.01,0.03,7.8,0.562,22,2579,834.0,3.1,34.0,3.0,282.0,1.52
40,8,1,1,15TPS40sec,7960,4060,15.1,0.60,0.01,0.03,10.7,0.525,29,5139,648.0,7.9,19.1,3.0,96.0,0.35
