0.75
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
7    c4e657bd264f9c0757d07567ab5092c281c282af152759fe6749a341023a40557d3d6cad8269620665e00db226a9cdbc02547a6fa3dc6b4b0939fe770a54ac33  8     160   03defb704f52d1048cb7fba9f616feb514eac1aa2ed70ff23883aea6e3b63bc785
6    fc5a88e4616f2eac841e0c72a3e9409597f95bf0c3f2abcfb98a220c7e287d1601f87198e1789cdf4cef386338509bfdef0652f50318b25942b7afbcedd545a8  16    320   03defb704f52d1048cb7fba9f616feb514eac1aa2ed70ff23883aea6e3b63bc785
5    786161c607853c5cab2f6a06ae21496fef3ca3c1b891ccc3f1c08c115faabad86b09b8a62d854e450eb38b404c881405ea182c0ac8d750b3104bd616f307868c  51    1020  03defb704f52d1048cb7fba9f616feb514eac1aa2ed70ff23883aea6e3b63bc785
4    47e1d512a31cef60c22f4b6b170f5f89f3adf50117e23fb03c77ef107cfd830b4761d13ef05453b80d2f845b463d3658c641c451dabbd96111b0c64c7248ed7c  10    200   03defb704f52d1048cb7fba9f616feb514eac1aa2ed70ff23883aea6e3b63bc785
3    24ffa0d4c986e524fcf512ec1635962e1f6fa163a2021e4a4c52f54ea90e3b583d22d08237fd6fea52cf44c78006d739becd0100867cef7c3a494efde20adee8  75    1500  03defb704f52d1048cb7fba9f616feb514eac1aa2ed70ff23883aea6e3b63bc785
2    4b4ff6eb6315899b40bb0beadf2864c5b1455a71d1ace810e2b9ad71d48b6d154f77b690c6ae52b949fdbfe2e251f993983e8e0d2baeaf8a9e3728ce8fddf6f4  43    860   03defb704f52d1048cb7fba9f616feb514eac1aa2ed70ff23883aea6e3b63bc785
1    e7599011c3ebac7f8db1e26b5ac9a1fbf2889ddc1995a97854249c3410e2da8c42db1ea2952906f8dad4cf75af94e23efb4e826a0be1b3fce64376d6d1c5c1d7  51    963   034b94ca65e53e78997a0e197388670a428c8ecbf15732c041a3b40e99b25d890d
0    9bc4c6a4acf048a99d1fcb332640344d6c90b89b88b356796ba4c2da5532bea247800ac6fd1149212df2ab02786aedd9a264a0ef93d922a977db3580af8496c1  4     12    034b94ca65e53e78997a0e197388670a428c8ecbf15732c041a3b40e99b25d890d
