Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,4740,1260,5.0 tps,0.05 s,0.01 s,0.02 s,4.0 tps
2,10 TPS,6700,1300,10.0 tps,0.17 s,0.01 s,0.03 s,8.4 tps
3,15 TPS,5760,6240,15.0 tps,0.32 s,0.01 s,0.05 s,7.2 tps
4,20 TPS,2660,13340,20.0 tps,0.28 s,0.02 s,0.08 s,3.3 tps
5,25 TPS,6080,13920,25.0 tps,0.30 s,0.02 s,0.10 s,-0.0 tps
6,30 TPS,2320,21680,30.0 tps,0.33 s,0.04 s,0.16 s,8.7 tps
7,35 TPS,3700,24300,35.0 tps,0.24 s,0.02 s,0.10 s,-0.0 tps
