Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,5020,0,10.1 tps,0.05 s,0.01 s,0.02 s,10.1 tps
2,40 TPS,8540,39480,40.0 tps,0.16 s,0.01 s,0.04 s,7.1 tps
