round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,29.9MB,11.2MB,76.85%,15.72%,1010.3MB,7.1MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.5MB,20.5MB,0.00%,0.00%,3.8KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-2,26.4MB,26.4MB,0.67%,0.03%,944.9KB,960.9KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,22.4MB,21.4MB,55.72%,7.05%,12.7MB,6.3MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.6MB,46.6MB,0.00%,0.00%,3.8KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,22.3MB,21.4MB,47.01%,7.04%,12.7MB,6.3MB,0B,0B
round0,Docker,sawtooth-rest-api-0,79.4MB,42.1MB,101.44%,13.30%,607.3MB,1013.7MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,47.1MB,47.1MB,0.00%,0.00%,4.1KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,4.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,26.5MB,26.5MB,0.70%,0.02%,944.7KB,961.9KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,4.1KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,4.0KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,22.3MB,21.4MB,51.49%,7.09%,12.6MB,6.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.6MB,20.6MB,0.00%,0.00%,4.0KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.9MB,46.9MB,0.00%,0.00%,4.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-3,26.5MB,26.4MB,0.75%,0.03%,961.5KB,977.0KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,22.2MB,21.3MB,47.31%,6.71%,12.3MB,6.1MB,0B,0B
round0,Docker,sawtooth-validator-2,235.4MB,156.9MB,103.19%,15.78%,14.0MB,14.2MB,0B,0B
round0,Docker,sawtooth-validator-0,288.7MB,182.4MB,105.99%,22.21%,15.8MB,630.8MB,0B,0B
round0,Docker,sawtooth-validator-1,233.5MB,159.9MB,102.17%,15.51%,13.3MB,14.7MB,0B,0B
round0,Docker,sawtooth-validator-3,231.9MB,157.4MB,103.11%,15.36%,12.9MB,14.8MB,0B,0B
