round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,47.4MB,19.2MB,64.46%,15.51%,1.8GB,12.4MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.5MB,20.5MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,179.2MB,68.5MB,100.01%,23.61%,1.1GB,1.8GB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,25.3MB,23.2MB,44.52%,14.14%,34.6MB,17.1MB,0B,0B
round0,Docker,sawtooth-validator-0,790.8MB,449.2MB,110.19%,88.52%,44.6MB,1.1GB,0B,0B
