Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,5TPS,2500,0,5.0 tps,0.04 s,0.01 s,0.01 s,5.0 tps
2,5TPS,2460,40,5.0 tps,0.33 s,0.01 s,0.03 s,5.0 tps
3,5TPS,2500,0,5.0 tps,0.62 s,0.01 s,0.03 s,5.0 tps
4,5TPS,2460,40,5.0 tps,0.31 s,0.01 s,0.04 s,5.0 tps
