Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
6,5,0,sawtooth-shell-default,44.7,10.5,63.47,12.80,1.0,7.5,0,0
6,5,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-intkey-tp-python...ult-1,22.4,21.4,40.15,5.16,14.6,7.2,0,0
6,5,0,sawtooth-rest-api-1,26.5,26.4,0.72,0.02,631.4,635.4,0,0
6,5,0,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-intkey-tp-python...ult-0,22.7,21.6,37.51,5.06,14.5,7.2,0,0
6,5,0,sawtooth-rest-api-0,80.8,41.9,79.79,11.34,643.1,1.0,0,0
6,5,0,sawtooth-rest-api-5,26.4,26.4,0.75,0.02,646.7,651.5,0,0
6,5,0,sawtooth-intkey-tp-python...ult-5,22.4,21.3,40.29,5.11,14.4,7.1,0,0
6,5,0,sawtooth-poet-validator-r...-tp-5,46.8,46.8,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-settings-tp-5,20.7,20.7,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,8.9,0,0,0
6,5,0,sawtooth-rest-api-2,26.5,26.4,0.70,0.01,631.0,635.1,0,0
6,5,0,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,9.0,0,0,0
6,5,0,sawtooth-intkey-tp-python...ult-2,22.5,21.5,37.66,5.13,14.5,7.2,0,0
6,5,0,sawtooth-rest-api-3,26.4,26.4,0.73,0.02,645.8,650.5,0,0
6,5,0,sawtooth-poet-validator-r...-tp-3,47.1,47.1,0.00,0.00,8.9,0,0,0
6,5,0,sawtooth-intkey-tp-python...ult-3,22.7,21.7,38.31,5.15,14.6,7.2,0,0
6,5,0,sawtooth-settings-tp-3,20.6,20.6,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-intkey-tp-python...ult-4,22.5,21.4,38.38,5.11,14.5,7.2,0,0
6,5,0,sawtooth-settings-tp-4,20.4,20.4,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-rest-api-4,26.5,26.5,0.68,0.01,645.4,650.6,0,0
6,5,0,sawtooth-poet-validator-r...-tp-4,46.9,46.9,0.00,0.00,9.1,0,0,0
6,5,0,sawtooth-validator-1,248.9,164.5,89.16,11.43,16.0,16.0,0,0
6,5,0,sawtooth-validator-0,310.2,192.2,100.93,16.67,18.4,689.5,0,0
6,5,0,sawtooth-validator-3,245.4,160.3,89.29,11.31,16.0,16.0,0,0
6,5,0,sawtooth-validator-5,251.4,160.5,89.69,11.28,15.4,16.4,0,0
6,5,0,sawtooth-validator-2,249.8,162.5,89.09,11.43,15.7,16.2,0,0
6,5,0,sawtooth-validator-4,249.2,163.8,88.43,11.43,16.0,15.9,0,0
6,5,1,sawtooth-shell-default,31.4,8.9,68.71,14.30,537.5,3.9,0,0
6,5,1,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,9.0,0,0,0
6,5,1,sawtooth-intkey-tp-python...ult-1,25.7,22.7,45.40,11.27,36.7,18.1,0,0
6,5,1,sawtooth-poet-validator-r...-tp-1,46.9,46.9,3.71,0.01,34.9,19.5,0,0
6,5,1,sawtooth-rest-api-1,26.5,26.3,0.34,0.01,631.7,635.1,0,0
6,5,1,sawtooth-settings-tp-2,20.4,20.4,0.00,0.00,8.9,0,0,0
6,5,1,sawtooth-rest-api-2,26.4,26.4,0.32,0.01,632.3,635.5,0,0
6,5,1,sawtooth-poet-validator-r...-tp-2,46.9,46.9,3.73,0.01,34.9,19.5,0,0
6,5,1,sawtooth-intkey-tp-python...ult-2,26.8,23.1,47.74,14.21,45.9,22.9,0,0
6,5,1,sawtooth-intkey-tp-python...ult-4,23.8,22.0,45.01,7.41,23.6,11.7,0,0
6,5,1,sawtooth-settings-tp-4,20.5,20.5,0.00,0.00,9.0,0,0,0
6,5,1,sawtooth-poet-validator-r...-tp-4,46.8,46.8,3.73,0.01,35.0,19.5,0,0
6,5,1,sawtooth-rest-api-4,26.5,26.3,0.36,0.01,646.8,651.1,0,0
6,5,1,sawtooth-rest-api-5,26.5,26.3,0.52,0.01,646.7,650.6,0,0
6,5,1,sawtooth-settings-tp-5,20.5,20.5,0.00,0.00,9.1,0,0,0
6,5,1,sawtooth-poet-validator-r...-tp-5,47.1,47.1,2.51,0.01,34.8,19.5,0,0
6,5,1,sawtooth-intkey-tp-python...ult-5,25.5,22.6,45.92,10.65,34.6,17.1,0,0
6,5,1,sawtooth-intkey-tp-python...ult-0,25.0,22.6,44.03,9.77,31.0,15.3,0,0
6,5,1,sawtooth-poet-validator-r...-tp-0,47.0,47.0,3.43,0.01,34.9,19.5,0,0
6,5,1,sawtooth-settings-tp-0,20.9,20.9,0.00,0.00,8.9,0,0,0
6,5,1,sawtooth-rest-api-0,54.0,35.8,41.90,6.89,324.8,539.6,0,0
6,5,1,sawtooth-settings-tp-3,20.7,20.7,0.00,0.00,8.9,0,0,0
