Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
8,2,1,15TPS,2880,12140,15.0,0.40,0.01,0.09,2.9,0.904,12,1279,1045.2,1.2,74.1,5.0,170.0,1.42
8,0,1,20TPS,2680,17340,20.0,0.34,0.01,0.09,2.8,0.934,8,339,1045.0,0.3,61.4,5.0,150.0,8.33
8,1,1,20TPS,2260,17760,20.0,0.24,0.01,0.09,2.3,0.924,11,1079,1040.0,1.0,59.5,5.0,195.0,1.3
8,2,1,20TPS,3240,16780,20.0,0.23,0.01,0.08,3.3,0.921,8,1159,1035.0,1.1,69.3,5.0,150.0,2.0
8,0,1,25TPS,18680,6340,25.0,0.33,0.01,0.04,18.7,1.006,6,199,50.0,4.0,6.7,5.0,10.0,3.67
8,1,1,25TPS,2800,22220,25.0,0.25,0.01,0.09,3.1,0.86,14,619,1040.1,0.6,50.5,5.0,215.0,4.17
8,2,1,25TPS,2640,22380,25.0,0.50,0.02,0.11,2.7,0.91,12,799,1040.0,0.8,55.6,5.0,165.0,2.38
8,0,1,30TPS,3120,26900,30.0,0.28,0.01,0.09,3.1,0.894,11,519,1045.0,0.5,55.5,5.0,210.0,5.2
8,1,1,30TPS,3440,26580,30.0,0.31,0.01,0.06,3.7,0.902,11,1299,1030.0,1.3,75.0,5.0,125.0,1.85
8,2,1,30TPS,3400,26620,30.0,0.24,0.01,0.07,3.4,0.915,9,1039,1035.0,1.0,58.1,5.0,130.0,2.4
8,0,1,35TPS,3040,31980,35.0,0.26,0.01,0.08,3.0,0.848,17,759,1040.0,0.7,56.4,5.0,165.0,3.29
8,1,1,35TPS,3080,31940,35.0,0.18,0.01,0.07,3.1,0.893,14,879,1340.0,0.7,76.5,5.0,200.0,3.43
8,2,1,35TPS,3220,31800,35.0,0.20,0.01,0.07,3.2,0.893,10,919,1040.0,0.9,75.0,5.0,180.0,2.56
8,0,1,40TPS,2880,37140,40.0,0.31,0.01,0.08,2.9,0.864,16,539,1050.0,0.5,46.5,5.0,245.0,4.8
8,0,1,45TPS,3140,41880,45.0,0.23,0.02,0.07,3.2,0.853,16,679,1045.0,0.6,54.3,5.0,195.0,4.33
8,1,1,45TPS,2660,42360,45.0,0.35,0.01,0.09,3.3,0.896,12,699,1045.0,0.7,49.4,5.0,205.0,3.71
8,2,1,45TPS,2740,42280,45.0,0.22,0.01,0.08,2.7,0.897,13,719,1050.0,0.7,44.1,5.0,110.0,2.86
8,0,1,50TPS,2560,47460,50.0,0.24,0.02,0.08,2.6,0.862,16,599,1035.0,0.6,32.0,5.0,225.0,3.33
8,1,1,50TPS,2340,47680,50.0,0.28,0.01,0.08,2.7,0.912,10,539,1040.0,0.5,56.9,5.0,150.0,4.4
8,2,1,50TPS,2100,47920,50.0,0.19,0.02,0.08,2.1,0.892,14,519,1040.0,0.5,58.2,5.0,195.0,3.2
8,0,1,55TPS,2880,52140,55.0,0.63,0.01,0.09,2.9,0.932,9,799,1030.0,0.8,63.1,5.0,110.0,2.62
10,0,1,5TPS,4360,660,5.0,0.21,0.01,0.07,4.4,0.577,48,2541,1015.0,2.5,17.2,5.0,120.0,0.76
10,1,1,5TPS,4120,900,5.0,0.23,0.01,0.07,4.1,0.663,31,1461,1035.0,1.4,13.8,5.0,60.0,1.93
10,2,1,5TPS,4160,860,5.0,0.27,0.01,0.07,4.2,0.702,32,1841,1025.0,1.8,24.6,5.0,240.0,1.33
10,0,1,10TPS,2620,7400,10.0,0.30,0.02,0.11,2.6,0.902,10,861,1035.0,0.8,42.2,5.0,180.0,2.25
10,0,1,15TPS,2180,12840,15.0,0.26,0.01,0.10,2.2,0.912,12,661,1035.0,0.6,56.5,5.0,215.0,2.67
10,1,1,15TPS,1860,13160,15.0,0.33,0.01,0.12,1.9,0.936,9,361,1030.0,0.4,85.0,5.0,215.0,3.75
10,0,1,20TPS,2280,17740,20.0,0.22,0.01,0.11,2.3,0.942,9,521,1035.0,0.5,55.7,5.0,215.0,3.6
10,1,1,20TPS,1900,18120,20.0,0.24,0.01,0.11,1.9,0.918,11,381,1030.0,0.4,75.0,5.0,235.0,3.75
10,2,1,20TPS,2560,17460,20.0,0.32,0.01,0.10,2.6,0.927,9,301,1045.0,0.3,60.0,5.0,175.0,7.67
10,0,1,25TPS,1920,23100,25.0,0.25,0.01,0.10,2.0,0.925,11,241,1040.0,0.2,63.3,5.0,200.0,9.0
10,1,1,25TPS,2340,22680,25.0,0.32,0.01,0.11,2.5,0.891,12,421,1045.0,0.4,71.5,5.0,270.0,5.25
