Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,5TPS,2520,0,5.0 tps,0.04 s,0.01 s,0.01 s,5.0 tps
2,5TPS,2500,0,5.0 tps,0.62 s,0.01 s,0.02 s,5.0 tps
3,5TPS,1800,700,5.0 tps,0.40 s,0.01 s,0.04 s,3.7 tps
4,5TPS,2240,260,5.0 tps,1.24 s,0.01 s,0.05 s,4.5 tps
