round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,36.9MB,19.6MB,59.41%,14.23%,1.8GB,12.7MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,25.6MB,23.2MB,46.41%,15.39%,37.5MB,18.5MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,242.4MB,73.6MB,100.00%,24.06%,1.1GB,1.9GB,0B,0B
round0,Docker,sawtooth-validator-0,804.1MB,492.8MB,107.26%,94.63%,52.0MB,1.1GB,0B,0B
