round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,32.2MB,10.7MB,67.47%,13.97%,1.0GB,7.4MB,0B,0B
round0,Docker,sawtooth-rest-api-2,26.4MB,26.4MB,0.53%,0.01%,630.9KB,634.7KB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.7MB,20.7MB,0.00%,0.00%,9.1KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,23.4MB,21.7MB,45.99%,6.47%,20.7MB,10.2MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.9MB,46.9MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-4,20.6MB,20.6MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-4,46.9MB,46.9MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-4,26.5MB,26.4MB,0.69%,0.01%,647.5KB,652.0KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-4,24.6MB,22.1MB,46.77%,9.17%,29.3MB,14.5MB,0B,0B
round0,Docker,sawtooth-rest-api-0,81.9MB,42.1MB,71.84%,12.14%,636.9MB,1.0GB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.5MB,20.5MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,25.0MB,22.5MB,43.55%,10.40%,32.4MB,16.2MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-5,46.8MB,46.8MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-5,21.0MB,21.0MB,0.00%,0.00%,8.9KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-5,26.2MB,26.2MB,0.77%,0.02%,648.1KB,651.6KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-5,24.9MB,22.4MB,46.77%,10.51%,32.5MB,16.2MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,24.8MB,22.4MB,45.19%,10.54%,32.5MB,16.2MB,0B,0B
round0,Docker,sawtooth-rest-api-3,26.6MB,26.4MB,0.43%,0.01%,646.4KB,650.6KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.8MB,46.8MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.8MB,20.8MB,0.00%,0.00%,8.9KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,8.9KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,26.3MB,26.3MB,0.69%,0.01%,631.4KB,634.9KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,22.6MB,21.3MB,41.73%,5.28%,16.6MB,8.2MB,0B,0B
round0,Docker,sawtooth-validator-2,278.7MB,167.9MB,93.33%,15.15%,28.5MB,25.7MB,0B,0B
round0,Docker,sawtooth-validator-1,262.5MB,163.5MB,91.38%,13.67%,25.7MB,22.3MB,0B,0B
round0,Docker,sawtooth-validator-4,325.3MB,187.1MB,96.88%,24.72%,31.6MB,35.5MB,0B,0B
round0,Docker,sawtooth-validator-5,352.9MB,206.8MB,93.69%,26.49%,37.4MB,34.5MB,0B,0B
round0,Docker,sawtooth-validator-3,348.2MB,205.7MB,94.48%,26.74%,37.6MB,34.3MB,0B,0B
round0,Docker,sawtooth-validator-0,418.3MB,235.2MB,103.76%,33.03%,40.0MB,753.8MB,0B,0B
