0.7037037037037037
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
8    9123774842676bf4131327d5058de194e1759d1a405fcdb31c19a00fdcda7e181e359902f826eb1c92e8dea84208eedc9a50b1a3ad06d343462ab5f691b05f75  10    200   0333b7bf7be76212a641895248bfb38d62c706b5ff9f6e9d5586f3a7145a78661c
7    6a9f2b9bba6c6f8ad3746242ea417887d6e405fe2d67e9c53a001138d8b18b8573d3f43821c33d435f7b6db8340874bcd8548bea20cea98a5ac68f75725e06bb  41    820   02aa1950467d8e09a4622b8a30d1f87a839ad29692c22efb29189baec74425bfc3
6    2b64c0f3de905bff81df52526cc2b84680c5bb79dd8fc71811ef942c56eb02a61c26ed1f32c274f2800c9a075d83087c4d911f0430696a7ea10c3e89fb6f01fb  57    1140  0376daeb7a4589218cb6359554b3b19fa73377c46a1759ea0e05bcc31821b5e265
5    9659eaa93ee8728f13d952b4d8780af17d76b448149da06a63001630c50d89c270fd36c63eccbf4af4337c80726d75f6edbfc3fc0d72430ab23d2e0cfb8a1127  55    1100  0376daeb7a4589218cb6359554b3b19fa73377c46a1759ea0e05bcc31821b5e265
4    278605e0ac615b3b6248f4cf3b728d4b59794da8ce72a5d6673425e30fc05faf3369770ed4f5cf373fe7fd4fb83a4282c51e237af443518304332325896e56ed  26    520   0333b7bf7be76212a641895248bfb38d62c706b5ff9f6e9d5586f3a7145a78661c
3    c1a945a6fc3376c5ea983963480222dee456a4821e2f15f78869a51201ad14473252e4aa5bae1ac03b37e2ddf578081d2edf91a8c40355af39118fe184c3e6b1  8     160   03007d0b6b00180743926950b26f8772a0fc779cf3d6722ab9d0efa6d7fdde632c
2    0e75e65852c30a2a9bbb8d03da798a1a8268a838b5b2ed0e2e6189fd9f07076d632596f67a8b404f9e43e8fadc39fd1d71af5e5ee79d23f1d63c06629f1277ae  4     80    03007d0b6b00180743926950b26f8772a0fc779cf3d6722ab9d0efa6d7fdde632c
1    0648aaf4301a3e163f743533444151f0c0fdb48a3175acdee40db79981d8f41966a908c1c8ffa799c1a5d473b8a2b58a346791593a1b519dca9d16326232e250  3     3     0333b7bf7be76212a641895248bfb38d62c706b5ff9f6e9d5586f3a7145a78661c
0    30926ee5bb2ae4604fb4b9d561f06680bd553fa9c96cb5f6be8be891bb34ea9472296808bc2fad8c3408f6c09576cd2eb6f1279198f4d0ea81f43f156fb2bd90  4     12    0333b7bf7be76212a641895248bfb38d62c706b5ff9f6e9d5586f3a7145a78661c
