Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,3020,0,10.1 tps,0.04 s,0.01 s,0.02 s,10.1 tps
2,10 TPS,1340,260,10.3 tps,0.19 s,0.01 s,0.02 s,8.6 tps
3,15 TPS,2200,200,15.3 tps,0.04 s,0.01 s,0.02 s,15.3 tps
4,20 TPS,1460,1780,20.2 tps,0.24 s,0.02 s,0.07 s,9.1 tps
5,25 TPS,1300,3240,25.2 tps,0.26 s,0.02 s,0.09 s,7.2 tps
6,30 TPS,2520,2920,30.2 tps,0.24 s,0.02 s,0.07 s,-0.0 tps
7,35 TPS,1580,5460,35.2 tps,0.19 s,0.02 s,0.08 s,9.1 tps
8,40 TPS,1540,7320,40.2 tps,0.16 s,0.02 s,0.08 s,-0.0 tps
9,45 TPS,400,10460,45.2 tps,0.14 s,0.03 s,0.08 s,11.8 tps
