0.0
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
41   f11c8e8dadab3d3e46e26dc57dfca661a40364218b03c5a79b988da859806608749bdcca71bc48215784845ddccd6c67da071c7aedc1df2c6b5bde8b6c5064d8  35    700   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
40   394f4f0758c5e8ddd6cc3a40907cf18a445bd76e879c19060b93ac068e641af70bdfc1572dac197bf7b929d4cde7562f805e648f6d5061b88215d8ab755fe988  10    200   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
39   6e130efe1d69e3d771871779631328458682daee69fc31e075111abeb96b76ed35a576d041f3b7062f22ed0bed5ae5a18847d826556a88d6d1d21af275a423fc  20    400   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
38   0e5d2eed795bc2823e25cfe46af86449aff8110f39824871b53606eefbc99675497d64b480ce7e79b4d047cea18c80e6191530198ea71ce36452a31bb4d56ac3  33    660   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
37   269309449dafe22c54b4ab97940b355fe4a810b04ffec2ba9e8538360750a78a2b1f1c1aa86c79eef3eee2ccf99def2fa75459bf26f101e4098b6720b1c38bc3  32    640   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
36   df3b46a1712c8ad8316f1b7bc3cc6b9e69fd71538edc43a7f556ec22679b2160778bb20b6f3f707a31f9af7861b473936df7cb09891d297925caec5dcf0618b8  5     100   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
35   9b9a8235ecf71023d6f80202c7784f0d4bb7577ce40e3f3ffd6ccaedcd1689a33bf434a5ea74b0c779e64335a30c185f1ea563ec223a084c27e395dd2323ff0d  14    280   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
34   e132fb7a7e8112702cfec875b669f02452ad56a5c6145e329a3740578049599b13f7ebbdf2717fd0e002bcfb5b9be98d6d1b654ddc53c8f4946d693f1559ed64  14    280   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
33   a8453c62cc4f6e4a6566b26eacaa8b891bf1af42dd84bd52a2b50bfeeef393c64df01012a713603a442d1b265f21699de06ef1e10a0451273dca1a06406c77ee  7     140   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
32   797b02bcf99acaf3ad6698aa1c7aaa687367f200e9696423e60ee9056a96665123fef6e0923b3b030d3d18a77e519ff000e7ab0cbb9f0826e181acb89fc1d903  9     180   02175c980f3bca6509a9efcc7016442fb7ae808b8c3a266afdf25a1137f3921780
