round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-intkey-tp-python...ult-5,24.2MB,22.3MB,42.25%,20.91%,26.6MB,13.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-5,20.8MB,20.8MB,0.00%,0.00%,16.2KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-5,46.9MB,46.9MB,0.00%,0.00%,53.3KB,28.2KB,0B,0B
round0,Docker,sawtooth-rest-api-5,26.8MB,26.5MB,1.26%,0.03%,491.9KB,482.1KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,53.3KB,28.2KB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.8MB,20.8MB,0.00%,0.00%,16.2KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,24.2MB,22.2MB,39.54%,21.21%,26.7MB,13.3MB,0B,0B
round0,Docker,sawtooth-rest-api-1,27.0MB,26.6MB,1.25%,0.03%,489.7KB,481.5KB,0B,0B
round0,Docker,sawtooth-shell-default,31.1MB,15.9MB,96.90%,22.31%,213.4MB,1.7MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-6,47.1MB,47.1MB,0.00%,0.00%,53.3KB,28.2KB,0B,0B
round0,Docker,sawtooth-settings-tp-6,21.0MB,21.0MB,0.00%,0.00%,16.2KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-6,24.1MB,22.2MB,40.78%,20.56%,26.3MB,13.1MB,0B,0B
round0,Docker,sawtooth-rest-api-6,27.1MB,26.8MB,1.46%,0.02%,490.1KB,483.5KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,47.1MB,47.1MB,0.51%,0.06%,52.8KB,29.1KB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.9MB,20.9MB,0.48%,0.06%,15.9KB,952B,0B,0B
round0,Docker,sawtooth-rest-api-0,50.2MB,35.3MB,81.63%,9.06%,129.5MB,214.5MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,23.3MB,22.3MB,37.21%,15.06%,18.5MB,9.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.8MB,20.8MB,0.00%,0.00%,16.2KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,47.0MB,47.0MB,0.00%,0.00%,53.1KB,28.2KB,0B,0B
round0,Docker,sawtooth-rest-api-3,26.8MB,26.5MB,1.23%,0.02%,504.9KB,497.3KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,24.4MB,22.4MB,40.56%,20.85%,26.6MB,13.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-7,20.8MB,20.8MB,0.00%,0.00%,16.0KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-7,24.1MB,22.1MB,41.52%,20.33%,26.1MB,13.0MB,0B,0B
round0,Docker,sawtooth-rest-api-7,26.4MB,26.3MB,1.19%,0.02%,490.9KB,480.4KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-7,47.0MB,47.0MB,0.00%,0.00%,53.1KB,28.2KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-4,46.8MB,46.8MB,0.00%,0.00%,53.1KB,28.2KB,0B,0B
round0,Docker,sawtooth-settings-tp-4,21.0MB,21.0MB,0.00%,0.00%,16.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-4,26.9MB,26.5MB,1.26%,0.03%,506.1KB,497.0KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-4,24.3MB,22.4MB,41.04%,21.19%,26.7MB,13.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.7MB,20.7MB,0.00%,0.00%,16.2KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,24.1MB,22.3MB,47.05%,20.98%,26.4MB,13.2MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.9MB,46.9MB,0.00%,0.00%,53.1KB,28.2KB,0B,0B
round0,Docker,sawtooth-rest-api-2,26.8MB,26.6MB,1.75%,0.02%,490.8KB,480.9KB,0B,0B
round0,Docker,sawtooth-validator-3,302.5MB,206.4MB,100.91%,59.81%,28.9MB,29.0MB,0B,0B
round0,Docker,sawtooth-validator-7,321.7MB,214.5MB,101.80%,61.17%,28.6MB,28.6MB,0B,0B
round0,Docker,sawtooth-validator-0,282.6MB,144.2MB,93.94%,42.46%,-172778B,-,0B,0B
round0,Docker,sawtooth-validator-1,320.3MB,215.6MB,101.33%,59.74%,30.0MB,47.0MB,0B,0B
round0,Docker,sawtooth-validator-6,309.1MB,203.9MB,102.32%,60.64%,30.4MB,28.4MB,0B,0B
round0,Docker,sawtooth-validator-5,299.8MB,204.8MB,101.64%,60.22%,29.5MB,29.9MB,0B,0B
round0,Docker,sawtooth-validator-4,308.9MB,203.7MB,101.25%,59.75%,28.9MB,29.2MB,0B,0B
round0,Docker,sawtooth-validator-2,346.1MB,226.6MB,101.99%,60.72%,29.4MB,47.2MB,0B,0B
