round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,51.2MB,17.6MB,69.92%,16.77%,1.5GB,10.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.5MB,20.5MB,0.00%,0.00%,3.2KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,24.3MB,22.5MB,49.62%,11.16%,28.4MB,14.3MB,0B,0B
round0,Docker,sawtooth-rest-api-0,131.3MB,58.7MB,101.88%,20.65%,905.8MB,1.5GB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.00%,0.00%,18.3KB,11.3KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.8MB,46.8MB,0.00%,0.00%,18.4KB,11.3KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,24.6MB,22.4MB,52.45%,12.40%,31.5MB,15.8MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.5MB,20.5MB,0.00%,0.00%,3.2KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-2,26.6MB,26.5MB,0.85%,0.06%,2.2MB,2.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.6MB,20.6MB,0.00%,0.00%,3.2KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-3,26.5MB,26.3MB,0.77%,0.07%,2.2MB,2.3MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.9MB,46.8MB,0.00%,0.00%,18.4KB,11.3KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,24.5MB,22.4MB,51.82%,11.82%,29.9MB,15.0MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.6MB,20.6MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,26.4MB,26.3MB,0.70%,0.06%,2.2MB,2.3MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.6MB,46.6MB,0.00%,0.00%,18.4KB,11.4KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,24.5MB,22.4MB,50.49%,12.01%,30.5MB,15.3MB,0B,0B
round0,Docker,sawtooth-validator-0,661.7MB,345.3MB,113.60%,56.38%,35.4MB,969.6MB,0B,0B
round0,Docker,sawtooth-validator-2,529.8MB,286.9MB,113.95%,42.27%,34.2MB,36.4MB,0B,0B
round0,Docker,sawtooth-validator-3,481.9MB,277.1MB,115.90%,43.65%,34.4MB,33.8MB,0B,0B
round0,Docker,sawtooth-validator-1,519.2MB,270.3MB,103.12%,42.74%,32.0MB,37.1MB,0B,0B
