Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,300,0,5.8 tps,0.12 s,0.01 s,0.03 s,5.8 tps
2,10 TPS,700,0,10.6 tps,0.07 s,0.01 s,0.03 s,10.6 tps
3,15 TPS,600,140,15.4 tps,0.09 s,0.02 s,0.05 s,12.5 tps
4,20 TPS,520,740,20.0 tps,0.08 s,0.02 s,0.04 s,9.0 tps
5,25 TPS,1000,760,22.5 tps,0.15 s,0.02 s,0.05 s,13.2 tps
6,30 TPS,640,1820,27.3 tps,0.08 s,0.02 s,0.04 s,7.6 tps
7,35 TPS,900,2320,30.5 tps,0.17 s,0.02 s,0.06 s,-0.0 tps
8,40 TPS,880,3220,35.2 tps,0.11 s,0.02 s,0.06 s,-0.0 tps
9,45 TPS,860,4200,39.5 tps,0.11 s,0.01 s,0.05 s,6.7 tps
