round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,11.4MB,5.1MB,48.48%,9.26%,230.4KB,3.7KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.5MB,46.5MB,0.00%,0.00%,0B,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,20.4MB,20.4MB,0.00%,0.00%,86.2KB,42.6KB,0B,0B
round0,Docker,sawtooth-rest-api-0,26.8MB,26.7MB,1.15%,0.19%,176.7KB,263.0KB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,70B,0B,0B,0B
round0,Docker,sawtooth-validator-0,67.1MB,66.3MB,0.44%,0.23%,73.7KB,229.2KB,0B,0B
