Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,3,2,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,10.2,0,0,0
4,3,2,sawtooth-intkey-tp-python...ult-1,26.5,23.6,55.98,37.48,44.6,22.7,0,0
4,3,2,sawtooth-rest-api-1,27.8,27.6,3.28,0.28,5.6,5.7,0,0
4,3,2,sawtooth-settings-tp-1,20.5,20.5,0.00,0.00,10.4,0,0,0
4,3,2,sawtooth-validator-3,340.6,217.5,104.98,77.27,47.6,51.0,0,0
4,3,2,sawtooth-validator-0,351.4,232.5,112.20,82.24,49.5,326.7,0,0
4,3,2,sawtooth-validator-2,341.6,221.0,109.70,79.36,47.9,52.6,0,0
4,3,2,sawtooth-validator-1,353.9,227.5,106.65,79.26,48.6,78.5,0,0
4,5,0,sawtooth-shell-default,39.0,14.6,98.56,35.32,504.0,3.7,0,0
4,5,0,sawtooth-rest-api-0,75.9,37.2,101.02,18.46,307.8,511.1,0,0
4,5,0,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,10.5,0,0,0
4,5,0,sawtooth-intkey-tp-python...ult-0,26.0,23.2,55.12,33.04,42.8,21.8,0,0
4,5,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.6,0,0,0
4,5,0,sawtooth-intkey-tp-python...ult-2,26.6,23.5,53.04,35.38,45.8,23.3,0,0
4,5,0,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,10.7,0,0,0
4,5,0,sawtooth-rest-api-2,27.6,27.3,2.41,0.27,5.6,5.7,0,0
4,5,0,sawtooth-settings-tp-2,20.5,20.5,0.00,0.00,10.7,0,0,0
4,5,0,sawtooth-settings-tp-1,21.0,21.0,0.00,0.00,10.7,0,0,0
4,5,0,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.7,0,0,0
4,5,0,sawtooth-intkey-tp-python...ult-1,26.7,23.5,54.28,35.77,45.6,23.2,0,0
4,5,0,sawtooth-rest-api-1,28.1,27.6,1.93,0.27,5.6,5.7,0,0
4,5,0,sawtooth-poet-validator-r...-tp-3,47.0,47.0,0.00,0.00,10.7,0,0,0
4,5,0,sawtooth-rest-api-3,27.7,27.4,1.54,0.28,5.6,5.7,0,0
4,5,0,sawtooth-intkey-tp-python...ult-3,26.7,23.6,54.10,35.64,46.1,23.4,0,0
