Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
1,60,0,sawtooth-intkey-tp-python...ult-0,27.0,24.0,47.31,15.00,47.0,23.2,0,0
1,60,0,sawtooth-rest-api-0,209.2,84.9,100.30,23.86,1.3,2.1,0,0
1,60,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.4,0,0,0
1,60,0,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.4,0,0,0
1,60,0,sawtooth-validator-0,911.6,568.4,106.95,93.06,71.4,1.3,0,0
1,60,1,sawtooth-shell-default,107.2,19.5,57.04,9.16,2.1,14.5,0,0
1,60,1,sawtooth-rest-api-0,252.6,86.0,100.83,25.15,1.3,2.2,0,0
1,60,1,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.3,0,0,0
1,60,1,sawtooth-intkey-tp-python...ult-0,27.3,24.3,45.37,15.51,49.1,24.2,0,0
1,60,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.2,0,0,0
1,60,1,sawtooth-validator-0,980.7,623.7,109.76,94.98,72.5,1.3,0,0
1,60,2,sawtooth-shell-default,42.5,18.5,53.87,11.03,2.2,14.7,0,0
1,60,2,sawtooth-settings-tp-0,20.2,20.2,0.00,0.00,10.3,0,0,0
1,60,2,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.4,0,0,0
1,60,2,sawtooth-intkey-tp-python...ult-0,27.2,24.2,47.02,15.11,48.3,23.9,0,0
1,60,2,sawtooth-rest-api-0,224.6,87.4,100.52,23.45,1.3,2.2,0,0
1,60,2,sawtooth-validator-0,1.0,608.3,109.22,94.09,72.3,1.3,0,0
1,70,0,sawtooth-shell-default,116.9,18.9,51.73,9.73,2.1,14.7,0,0
1,70,0,sawtooth-intkey-tp-python...ult-0,27.0,24.0,47.45,15.05,48.5,24.0,0,0
1,70,0,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,10.2,0,0,0
1,70,0,sawtooth-rest-api-0,274.1,84.2,100.17,25.47,1.3,2.2,0,0
1,70,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.3,0,0,0
1,70,0,sawtooth-validator-0,923.0,564.4,109.51,94.08,79.5,1.3,0,0
1,70,1,sawtooth-shell-default,91.5,18.4,53.34,10.60,2.0,14.1,0,0
1,70,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,70,1,sawtooth-rest-api-0,207.8,84.5,100.92,23.48,1.3,2.1,0,0
1,70,1,sawtooth-intkey-tp-python...ult-0,27.2,23.9,44.59,14.77,48.0,23.7,0,0
1,70,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,70,1,sawtooth-validator-0,986.3,554.0,106.52,92.71,79.1,1.3,0,0
1,70,2,sawtooth-shell-default,107.0,18.8,53.93,10.87,2.1,14.6,0,0
1,70,2,sawtooth-rest-api-0,271.5,90.2,100.17,22.61,1.3,2.2,0,0
1,70,2,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.3,0,0,0
1,70,2,sawtooth-intkey-tp-python...ult-0,27.5,24.4,44.35,15.51,49.9,24.6,0,0
1,70,2,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,70,2,sawtooth-validator-0,937.3,587.5,109.28,92.28,80.1,1.3,0,0
1,80,0,sawtooth-shell-default,84.4,18.9,58.12,9.77,2.0,14.1,0,0
1,80,0,sawtooth-intkey-tp-python...ult-0,27.2,24.1,44.37,14.90,48.1,23.7,0,0
1,80,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.3,0,0,0
1,80,0,sawtooth-rest-api-0,228.4,88.0,100.52,23.38,1.3,2.1,0,0
1,80,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,80,0,sawtooth-validator-0,956.8,574.0,111.25,94.38,86.2,1.3,0,0
1,80,1,sawtooth-shell-default,82.4,18.7,55.64,9.60,2.2,15.1,0,0
1,80,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,80,1,sawtooth-rest-api-0,251.1,90.3,100.44,25.41,1.4,2.3,0,0
1,80,1,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,10.2,0,0,0
1,80,1,sawtooth-intkey-tp-python...ult-0,27.4,24.3,45.40,15.16,48.6,24.0,0,0
1,80,1,sawtooth-validator-0,888.1,571.6,109.99,92.72,86.9,1.3,0,0
1,80,2,sawtooth-shell-default,109.3,19.2,54.24,11.05,2.0,14.0,0,0
1,80,2,sawtooth-intkey-tp-python...ult-0,27.1,24.0,44.79,14.91,47.6,23.5,0,0
1,80,2,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.2,0,0,0
1,80,2,sawtooth-rest-api-0,240.5,86.0,99.89,22.16,1.3,2.1,0,0
1,80,2,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,80,2,sawtooth-validator-0,965.0,577.0,112.25,93.79,85.8,1.2,0,0
2,45,0,sawtooth-shell-default,80.8,17.2,55.22,13.05,1.8,12.9,0,0
2,45,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.55,0.00,15.8,3.7,0,0
2,45,0,sawtooth-intkey-tp-python...ult-0,28.2,24.3,53.22,17.43,58.2,29.8,0,0
2,45,0,sawtooth-rest-api-0,179.2,62.2,100.69,22.99,1.1,1.9,0,0
2,45,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.7,0,0,0
2,45,0,sawtooth-rest-api-1,28.3,27.7,1.41,0.32,16.7,17.0,0,0
2,45,0,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.7,0,0,0
2,45,0,sawtooth-intkey-tp-python...ult-1,29.0,24.5,53.78,18.40,63.5,32.3,0,0
2,45,0,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.71,0.00,15.7,3.6,0,0
2,45,0,sawtooth-validator-0,871.6,541.9,113.50,95.72,75.6,1.2,0,0
2,45,0,sawtooth-validator-1,785.1,501.4,107.71,88.16,61.4,88.5,0,0
2,45,1,sawtooth-shell-default,72.3,18.8,62.79,11.19,2.0,13.2,0,0
2,45,1,sawtooth-rest-api-1,27.8,27.3,1.43,0.32,16.7,17.0,0,0
2,45,1,sawtooth-intkey-tp-python...ult-1,29.0,24.7,53.56,18.89,64.4,32.4,0,0
2,45,1,sawtooth-poet-validator-r...-tp-1,46.4,46.4,0.00,0.00,15.7,3.7,0,0
2,45,1,sawtooth-settings-tp-1,20.3,20.3,0.00,0.00,10.7,0,0,0
2,45,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.7,0,0,0
2,45,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,15.7,3.6,0,0
2,45,1,sawtooth-intkey-tp-python...ult-0,28.4,24.5,54.90,17.80,59.7,30.5,0,0
2,45,1,sawtooth-rest-api-0,224.8,72.3,101.22,24.62,1.2,2.0,0,0
2,45,1,sawtooth-validator-1,837.1,527.3,109.26,79.87,59.7,93.6,0,0
2,45,1,sawtooth-validator-0,1002.6,615.2,113.62,97.25,80.5,1.2,0,0
2,45,2,sawtooth-shell-default,77.1,17.0,59.19,12.11,1.7,11.9,0,0
2,45,2,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.8,0,0,0
2,45,2,sawtooth-rest-api-0,186.2,66.0,101.73,20.51,1.0,1.7,0,0
2,45,2,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,10.8,0,0,0
2,45,2,sawtooth-intkey-tp-python...ult-0,28.5,24.8,54.19,17.27,58.3,29.7,0,0
2,45,2,sawtooth-intkey-tp-python...ult-1,29.1,24.9,52.72,19.08,64.7,32.7,0,0
2,45,2,sawtooth-rest-api-1,28.3,27.8,1.64,0.32,16.7,17.0,0,0
2,45,2,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.7,0,0,0
2,45,2,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,10.7,0,0,0
2,45,2,sawtooth-validator-0,960.5,581.7,119.82,96.70,75.1,1.1,0,0
2,45,2,sawtooth-validator-1,780.6,521.3,117.99,87.86,63.4,89.7,0,0
2,50,0,sawtooth-shell-default,71.2,17.3,66.00,12.82,1.8,12.7,0,0
2,50,0,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,10.5,0,0,0
2,50,0,sawtooth-intkey-tp-python...ult-0,28.0,24.6,54.10,17.10,57.6,29.5,0,0
2,50,0,sawtooth-rest-api-0,166.4,64.7,100.50,22.16,1.1,1.9,0,0
2,50,0,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.5,0,0,0
2,50,0,sawtooth-poet-validator-r...-tp-1,46.6,46.6,0.00,0.00,10.6,0,0,0
2,50,0,sawtooth-intkey-tp-python...ult-1,29.7,25.2,52.89,19.90,68.1,34.4,0,0
2,50,0,sawtooth-rest-api-1,28.2,27.6,1.60,0.36,18.5,18.9,0,0
2,50,0,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.5,0,0,0
2,50,0,sawtooth-validator-0,999.8,616.7,112.93,97.59,79.2,1.2,0,0
2,50,0,sawtooth-validator-1,798.6,526.8,108.28,88.75,67.0,95.4,0,0
2,50,1,sawtooth-shell-default,34.6,17.5,58.67,11.90,1.8,12.6,0,0
2,50,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.7,0,0,0
2,50,1,sawtooth-intkey-tp-python...ult-0,28.3,24.5,54.21,16.98,58.0,29.5,0,0
2,50,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.65,0.00,15.7,3.6,0,0
2,50,1,sawtooth-rest-api-0,185.9,69.2,100.32,22.24,1.1,1.8,0,0
2,50,1,sawtooth-rest-api-1,28.4,27.8,1.42,0.35,18.6,19.0,0,0
2,50,1,sawtooth-intkey-tp-python...ult-1,29.6,25.1,52.85,19.58,67.6,34.5,0,0
2,50,1,sawtooth-settings-tp-1,20.8,20.8,0.00,0.00,10.7,0,0,0
2,50,1,sawtooth-poet-validator-r...-tp-1,46.9,46.8,0.76,0.00,15.7,3.7,0,0
2,50,1,sawtooth-validator-0,971.7,620.9,114.67,94.53,74.5,1.2,0,0
2,50,1,sawtooth-validator-1,823.4,539.3,109.41,90.52,68.8,90.2,0,0
2,50,2,sawtooth-shell-default,54.2,16.8,61.68,11.43,1.8,12.2,0,0
2,50,2,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,10.9,0,0,0
2,50,2,sawtooth-rest-api-0,202.2,66.9,100.92,22.06,1.1,1.8,0,0
2,50,2,sawtooth-intkey-tp-python...ult-0,28.6,24.9,54.34,18.24,62.0,31.8,0,0
2,50,2,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.7,0,0,0
2,50,2,sawtooth-rest-api-1,28.2,27.7,0.85,0.36,18.5,18.9,0,0
2,50,2,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.8,0,0,0
2,50,2,sawtooth-intkey-tp-python...ult-1,29.9,25.2,53.59,20.36,69.9,35.4,0,0
2,50,2,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.8,0,0,0
2,50,2,sawtooth-validator-0,994.2,587.8,116.99,97.16,80.1,1.1,0,0
2,50,2,sawtooth-validator-1,783.6,500.4,110.68,88.24,69.7,95.9,0,0
2,55,0,sawtooth-shell-default,81.8,17.1,64.39,12.34,1.8,12.1,0,0
2,55,0,sawtooth-settings-tp-1,20.5,20.5,0.00,0.00,10.7,0,0,0
2,55,0,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,10.6,0,0,0
2,55,0,sawtooth-intkey-tp-python...ult-1,29.4,25.0,53.53,19.28,64.9,32.6,0,0
2,55,0,sawtooth-rest-api-1,28.1,27.7,0.93,0.39,20.4,20.8,0,0
2,55,0,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.6,0,0,0
2,55,0,sawtooth-rest-api-0,243.3,68.4,100.80,21.16,1.1,1.8,0,0
2,55,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.6,0,0,0
2,55,0,sawtooth-intkey-tp-python...ult-0,28.6,24.8,54.45,17.55,59.5,30.6,0,0
2,55,0,sawtooth-validator-1,840.1,538.6,107.79,84.47,66.7,94.3,0,0
2,55,0,sawtooth-validator-0,1001.3,587.1,114.75,98.19,84.0,1.1,0,0
2,55,1,sawtooth-shell-default,37.1,17.3,59.08,13.63,1.8,12.2,0,0
2,55,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.4,0,0,0
2,55,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.5,0,0,0
2,55,1,sawtooth-rest-api-0,187.3,63.1,100.30,20.64,1.1,1.8,0,0
2,55,1,sawtooth-intkey-tp-python...ult-0,28.6,24.9,53.25,18.03,60.6,31.1,0,0
2,55,1,sawtooth-intkey-tp-python...ult-1,28.9,24.8,53.29,18.99,63.8,32.3,0,0
2,55,1,sawtooth-rest-api-1,28.2,27.7,1.66,0.39,20.4,20.8,0,0
2,55,1,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,10.4,0,0,0
2,55,1,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.4,0,0,0
2,55,1,sawtooth-validator-0,965.6,575.6,116.24,97.47,82.3,1.1,0,0
2,55,1,sawtooth-validator-1,818.9,522.4,111.39,87.33,68.3,90.9,0,0
2,55,2,sawtooth-shell-default,79.2,18.0,64.47,11.67,1.8,12.6,0,0
2,55,2,sawtooth-rest-api-1,28.6,28.0,1.21,0.39,20.4,20.8,0,0
2,55,2,sawtooth-intkey-tp-python...ult-1,29.6,25.5,55.58,19.91,67.3,34.2,0,0
2,55,2,sawtooth-settings-tp-1,20.4,20.4,0.00,0.00,10.8,0,0,0
2,55,2,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.5,0,0,0
2,55,2,sawtooth-rest-api-0,181.7,69.4,101.40,22.40,1.1,1.9,0,0
2,55,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.5,0,0,0
2,55,2,sawtooth-intkey-tp-python...ult-0,28.6,25.2,54.54,17.88,60.7,30.8,0,0
2,55,2,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.6,0,0,0
2,55,2,sawtooth-validator-1,724.0,510.6,109.03,86.89,72.5,86.5,0,0
2,55,2,sawtooth-validator-0,965.5,594.8,118.01,96.31,74.1,1.2,0,0
2,60,0,sawtooth-shell-default,89.1,17.5,59.66,11.42,1.8,12.4,0,0
2,60,0,sawtooth-rest-api-0,193.8,71.0,101.47,22.77,1.1,1.9,0,0
2,60,0,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,15.7,3.7,0,0
2,60,0,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.7,0,0,0
2,60,0,sawtooth-intkey-tp-python...ult-0,29.0,24.9,53.13,18.65,62.4,31.7,0,0
2,60,0,sawtooth-intkey-tp-python...ult-1,30.0,25.1,54.23,21.28,72.8,37.3,0,0
2,60,0,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.80,0.00,15.7,3.7,0,0
2,60,0,sawtooth-rest-api-1,28.5,27.8,0.91,0.41,22.2,22.7,0,0
2,60,0,sawtooth-settings-tp-1,20.5,20.5,0.00,0.00,10.6,0,0,0
2,60,0,sawtooth-validator-0,1007.6,633.3,116.65,95.30,79.9,1.2,0,0
2,60,0,sawtooth-validator-1,772.7,521.0,117.93,89.87,78.6,95.1,0,0
2,60,1,sawtooth-shell-default,81.5,17.2,60.23,12.60,1.8,12.2,0,0
2,60,1,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.6,0,0,0
2,60,1,sawtooth-rest-api-0,196.6,64.0,100.15,21.10,1.1,1.8,0,0
2,60,1,sawtooth-intkey-tp-python...ult-0,27.8,24.4,53.90,16.39,53.6,27.2,0,0
2,60,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.7,0,0,0
2,60,1,sawtooth-rest-api-1,28.4,27.8,1.47,0.43,22.3,22.7,0,0
