Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,3920,1100,10.1 tps,0.08 s,0.01 s,0.02 s,7.9 tps
2,40 TPS,8720,14540,40.1 tps,0.29 s,0.02 s,0.06 s,15.0 tps
