Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput
1,warmup,4940,80,10.1 tps,0.08 s,0.01 s,0.02 s,9.9 tps
2,40 TPS,13040,34980,40.0 tps,0.35 s,0.01 s,0.05 s,12.9 tps
